sim_time,agent_id,agent_speed,agent_acc,agent_jerk,agent_collision
33.2,rl_0,2.4115514998236742,4.0,0.5146053041421461,3
33.6,rl_0,2.4938883484864176,4.0,0.0,4
34.0,rl_0,2.9860967518445047,4.0,2.5616972168458982,5
34.4,rl_0,3.478305155202592,4.0,0.0,6
34.8,rl_0,4.544917004847163,4.0,3.5900215392905275,7
35.2,rl_0,5.611528854491735,4.0,0.0,8
35.6,rl_0,4.567759336060033,4.0,-13.18988355047671,9
36.0,rl_0,3.5239898176283306,4.0,0.0,10
36.4,rl_0,2.6377593722270327,4.0,0.9846192064400272,11
36.8,rl_0,1.7515289268257348,4.0,0.0,11
37.2,rl_0,1.3785430092963566,4.0,3.207778299199498,11
37.6,rl_0,1.0055570917669785,4.0,0.0,11
38.0,rl_0,0.6958703060138266,4.0,0.39561957360141425,11
38.4,rl_0,0.3861835202606747,4.0,0.0,11
38.8,rl_0,0.2678972836025417,4.0,1.196253431843868,11
39.2,rl_0,0.14961104694440874,4.0,0.0,11
39.6,rl_0,0.09632185997990428,4.0,0.40623156058517823,11
40.0,rl_0,0.043032673015399814,4.0,0.0,12
40.4,rl_0,0.02803267301539958,4.0,0.23930741852815143,13
40.8,rl_0,0.013032673015399343,4.0,0.0,14
41.2,rl_0,0.0015163365076997781,4.0,0.02177289682687919,15
41.6,rl_0,0.0,4.0,0.06249999999999867,16
42.0,rl_0,0.0,4.0,0.009477103173123613,17
42.4,rl_0,0.0,4.0,0.0,18
42.8,rl_0,0.0,4.0,0.0,19
43.2,rl_0,0.0,4.0,0.0,19
43.6,rl_0,0.0,4.0,0.0,19
44.0,rl_0,0.0,4.0,0.0,20
44.4,rl_0,0.0,4.0,0.0,21
44.8,rl_0,0.0,4.0,0.0,22
45.2,rl_0,0.0,4.0,0.0,23
45.6,rl_0,0.0,4.0,0.0,23
46.0,rl_0,0.0,4.0,0.0,23
46.4,rl_0,0.0,4.0,0.0,23
46.8,rl_0,0.0,4.0,0.0,23
47.2,rl_0,0.0,4.0,0.0,23
47.6,rl_0,0.0,4.0,0.0,23
48.0,rl_0,0.0,4.0,0.0,23
48.4,rl_0,0.0,4.0,0.0,24
48.8,rl_0,0.0,4.0,0.0,25
49.2,rl_0,0.0,4.0,0.0,26
49.6,rl_0,0.0,4.0,0.0,27
50.0,rl_0,0.0,4.0,0.0,27
50.4,rl_0,0.0,4.0,0.0,28
50.8,rl_0,0.0,4.0,0.0,29
51.2,rl_0,0.0,4.0,0.0,30
51.6,rl_0,0.0,4.0,0.0,31
52.0,rl_0,0.0,4.0,0.0,31
52.4,rl_0,0.0,4.0,0.0,32
52.8,rl_0,0.0,4.0,0.0,33
53.2,rl_0,0.0,4.0,0.0,34
53.6,rl_0,0.0,4.0,0.0,35
54.0,rl_0,0.0,4.0,0.0,35
54.4,rl_0,0.0,4.0,0.0,35
54.8,rl_0,0.0,4.0,0.0,36
55.2,rl_0,0.0,4.0,0.0,37
55.6,rl_0,0.0,4.0,0.0,38
56.0,rl_0,0.0,4.0,0.0,39
56.4,rl_0,0.19092626118652084,4.0,1.193289132415755,39
56.8,rl_0,0.3818525223730417,4.0,0.0,39
57.2,rl_0,1.9566472805127892,4.0,8.649178105957667,39
57.6,rl_0,3.531442038652537,4.0,0.0,39
58.0,rl_0,4.870908453278626,4.0,-1.470802146960365,39
58.4,rl_0,6.210374867904715,4.0,-2.220446049250313e-15,39
58.8,rl_0,6.79,4.0,-4.749008015817524,39
59.2,rl_0,6.79,4.0,-3.622657075595531,39
59.6,rl_0,6.411142243042365,4.0,-2.36786098098522,39
60.0,rl_0,6.03228448608473,4.0,0.0,39
60.4,rl_0,6.419905681573747,4.0,4.790493452791577,39
60.8,rl_0,6.807526877062764,4.0,0.0,39
61.2,rl_0,7.354740695924,4.0,0.9974538960763668,39
61.6,rl_0,7.901954514785236,4.0,0.0,39
62.0,rl_0,8.672864551463972,4.0,1.3981013613593773,39
62.4,rl_0,9.443774588142709,4.0,5.551115123125783e-15,39
62.8,rl_0,9.353781218424361,4.0,-5.380646289981783,40
63.2,rl_0,9.263787848706013,4.0,0.0,41
63.6,rl_0,9.650811107738706,4.0,2.9813539296940084,42
64.0,rl_0,10.0378343667714,4.0,0.0,43
64.4,rl_0,9.604803861494235,4.0,-5.125336026936611,43
64.8,rl_0,9.17177335621707,4.0,0.0,43
65.2,rl_0,8.840698049346072,4.0,0.63721999003854,43
65.6,rl_0,8.509622742475074,4.0,0.0,43
66.0,rl_0,9.690859811470524,4.0,9.451952349165303,43
66.4,rl_0,10.872096880465975,4.0,0.0,43
66.8,rl_0,12.049023072816736,4.0,-0.026942979029309644,43
67.2,rl_0,13.225949265167497,4.0,0.0,43
67.6,rl_0,13.481893756568148,4.0,-5.756135630938186,43
68.0,rl_0,13.7378382479688,4.0,0.0,43
68.4,rl_0,13.89,4.0,-0.648642121059062,43
68.8,rl_0,13.89,4.0,-0.9510109501950081,43
69.2,rl_0,13.89,4.0,0.0,43
69.6,rl_0,13.89,4.0,0.0,43
70.0,rl_0,13.89,4.0,0.0,43
70.4,rl_0,13.89,4.0,0.0,43
70.8,rl_0,13.89,4.0,0.0,43
71.2,rl_0,13.89,4.0,0.0,43
71.6,rl_0,13.89,4.0,0.0,43
72.0,rl_0,13.89,4.0,0.0,43
72.4,rl_0,13.89,4.0,0.0,43
72.8,rl_0,13.89,4.0,0.0,43
