sim_time,speed_x,speed_y,acc,front_vehicle_distance,front_vehicle_to_speed,rear_vehicle_distance,rear_vehicle_to_speed,Et
81.6,1.266,0.0,0.0,0.179,1.586,67.633,-1.984,-0.0
82.0,1.061,0.0,-0.513,0.797,1.507,67.633,-1.984,-0.183
82.4,0.856,0.0,-0.513,1.319,1.102,67.633,-1.984,-0.18
82.8,1.108,0.0,0.63,1.587,0.239,67.633,-1.984,0.413
83.2,1.36,0.0,0.63,1.599,-0.182,67.633,-1.984,0.406
83.6,1.187,0.0,-0.433,1.527,-0.177,67.633,-1.984,-0.146
84.0,1.013,0.0,-0.433,1.47,-0.109,67.633,-1.984,-0.143
84.4,1.123,0.0,0.275,1.383,-0.325,67.633,-1.984,0.223
84.8,1.233,0.0,0.275,1.127,-0.955,67.633,-1.984,0.22
85.2,0.98,0.0,-0.632,0.714,-0.98,67.633,-1.984,-0.242
85.6,0.727,0.0,-0.632,0.375,-0.712,67.633,-1.984,-0.237
86.0,0.436,0.0,-0.727,0.151,-0.407,67.633,-1.984,-0.273
86.4,0.145,0.0,-0.727,0.042,-0.141,67.633,-1.984,-0.239
86.8,0.039,0.0,-0.266,0.005,-0.039,67.633,-1.984,0.191
87.2,0.0,0.0,-0.097,0.002,0.0,67.633,-1.984,3.839
87.6,0.001,0.0,0.003,0.002,-0.001,67.633,-1.984,54.827
88.0,0.002,0.0,0.003,0.001,-0.002,67.633,-1.984,18.31
88.4,0.0,0.0,-0.005,0.001,-0.0,67.633,-1.984,24.612
88.8,0.0,0.0,-0.001,0.001,0.0,67.633,-1.984,1933.606
89.2,0.0,0.0,0.0,0.001,0.0,67.633,-1.984,0.0
89.6,0.0,0.0,0.0,0.001,0.0,67.633,-1.984,0.0
90.0,0.0,0.0,0.0,0.001,0.0,67.633,-1.984,0.0
90.4,0.0,0.0,0.0,0.001,0.0,67.633,-1.984,0.0
90.8,0.0,0.0,0.0,0.001,0.0,67.633,-1.984,0.0
91.2,0.0,0.0,0.0,0.001,0.0,67.633,-1.984,0.0
91.6,0.0,0.0,0.0,0.001,0.0,67.633,-1.984,0.0
92.0,0.0,0.0,0.0,0.22,1.094,67.633,-1.984,0.0
92.4,0.226,0.0,0.566,0.831,1.961,67.633,-1.984,0.646
92.8,0.453,0.0,0.566,1.782,2.793,67.633,-1.984,0.445
93.2,1.399,0.0,2.364,2.921,2.906,67.633,-1.984,1.334
93.6,2.344,0.0,2.364,3.929,2.135,0.557,-12.777,1.306
94.0,2.979,0.0,1.587,4.691,1.674,1.141,-12.817,0.893
94.4,3.614,0.0,1.587,5.201,0.876,1.994,-12.857,0.89
94.8,4.184,0.0,1.425,5.405,0.142,2.938,-12.066,0.804
95.2,4.755,0.0,1.425,5.356,-0.384,3.794,-11.274,0.804
95.6,4.758,0.0,0.008,5.211,-0.343,4.491,-10.697,0.064
96.0,4.761,0.0,0.008,5.132,-0.052,4.958,-10.119,0.064
96.4,4.481,0.0,-0.699,5.226,0.522,5.216,-2.722,-0.253
96.8,4.201,0.0,-0.699,5.737,2.034,5.288,-2.535,-0.199
97.2,4.955,0.0,1.885,6.646,2.511,5.379,-2.343,1.258
97.6,5.709,0.0,1.885,7.631,2.413,5.695,-2.152,1.369
98.0,5.668,0.4,-0.103,8.735,3.11,5.695,-2.152,0.228
98.4,5.627,0.8,-0.103,9.895,2.691,6.108,-8.334,0.053
98.8,6.338,0.0,1.778,10.738,1.52,6.361,-8.964,1.027
99.2,7.049,0.0,1.778,11.099,0.285,7.15,-9.594,1.014
99.6,7.06,-0.4,0.028,11.106,-0.251,8.087,-8.984,0.093
100.0,7.072,-0.4,0.028,10.784,-1.356,8.785,-8.374,0.101
100.4,6.92,-0.4,-0.38,10.054,-2.297,9.245,-7.936,-0.105
100.8,6.768,-0.4,-0.38,9.125,-2.35,9.47,-7.499,-0.075
101.2,6.196,0.0,-1.429,8.258,-1.983,9.506,-7.717,-0.614
101.6,5.624,0.0,-1.429,7.514,-1.737,9.4,-7.935,-0.582
102.0,4.748,0.0,-2.19,6.929,-1.186,9.001,-7.699,-0.983
102.4,3.872,0.0,-2.19,6.711,0.092,8.158,-7.463,-1.011
102.8,3.931,0.4,0.148,6.816,0.435,7.325,-8.57,0.15
103.2,3.99,0.8,0.148,6.943,0.199,6.959,-9.678,0.194
103.6,4.564,1.0,1.435,6.873,-0.551,6.958,-9.764,0.881
104.0,5.138,1.0,1.435,6.566,-0.981,7.221,-9.851,0.838
104.4,5.047,0.6,-0.226,6.221,-0.746,7.497,-9.341,-0.011
104.8,4.957,0.2,-0.226,0.0,0.0,20.215,-9.28,-0.054
105.2,4.686,0.6,-0.678,0.0,0.0,20.355,-9.778,-0.243
105.6,4.415,0.6,-0.678,0.0,0.0,20.432,-9.503,-0.224
106.0,4.235,1.0,-0.448,0.0,0.0,20.308,-9.228,-0.136
106.4,4.056,1.0,-0.448,0.0,0.0,19.811,-7.995,-0.124
106.8,5.306,0.6,3.124,0.0,0.0,19.034,-6.761,1.711
107.2,6.555,0.2,3.124,0.0,0.0,18.403,-6.22,1.7
107.6,7.958,0.0,3.506,0.0,0.0,18.085,-5.678,1.948
108.0,9.36,0.0,3.506,0.0,0.0,18.047,-4.815,1.973
108.4,10.556,0.0,2.99,0.0,0.0,18.183,-3.952,1.705
108.8,11.752,0.0,2.99,0.0,0.0,18.459,-3.121,1.74
109.2,12.505,0.0,1.882,0.0,0.0,18.793,-2.29,1.227
109.6,13.258,0.0,1.882,0.0,0.0,19.267,-2.318,1.128
110.0,13.56,-0.4,0.756,0.0,0.0,19.963,-2.345,0.875
110.4,13.863,-0.8,0.756,0.0,0.0,20.719,-2.012,0.549
110.8,13.15,-1.0,-1.781,0.0,0.0,21.259,-1.678,-0.708
111.2,12.438,-1.0,-1.781,0.0,0.0,21.49,-1.887,-0.699
111.6,12.979,-1.0,1.354,0.0,0.0,61.94,-2.996,0.937
112.0,13.521,-1.0,1.354,0.0,0.0,62.735,-2.475,0.946
112.4,13.538,-0.6,0.043,0.0,0.0,63.542,-2.502,0.287
112.8,13.555,-0.2,0.043,0.0,0.0,64.367,-2.53,0.349
113.2,13.075,-0.25,-1.202,0.0,0.0,65.224,-3.128,-0.287
113.6,12.594,-0.25,-1.202,0.0,0.0,23.992,-1.477,-0.359
114.0,11.754,-0.65,-2.101,0.0,0.0,23.879,-1.61,-0.844
114.4,10.913,-0.65,-2.101,0.0,0.0,23.424,-1.449,-0.917
114.8,9.905,-0.25,-2.519,0.0,0.0,22.536,-1.289,-1.091
115.2,8.898,-0.2,-2.519,0.0,0.0,21.261,-1.533,-1.035
115.6,7.832,0.0,-2.666,0.0,0.0,19.669,-1.778,-1.206
116.0,6.765,0.0,-2.666,0.0,0.0,17.87,-2.633,-1.164
116.4,6.176,0.0,-1.473,0.0,0.0,16.083,3.721,-0.645
116.8,5.587,0.0,-1.473,0.0,0.0,14.458,2.586,-0.562
117.2,5.697,0.0,0.275,0.0,0.0,13.192,1.451,0.451
117.6,5.807,0.0,0.275,0.0,0.0,12.319,0.837,0.547
118.0,5.877,0.0,0.175,0.0,0.0,11.727,-6.986,0.411
118.4,5.947,0.0,0.175,0.0,0.0,11.375,-7.426,0.222
118.8,7.141,0.0,2.984,0.0,0.0,11.451,-7.866,1.617
119.2,8.334,0.0,2.984,0.0,0.0,12.217,-8.488,1.618
119.6,9.735,0.0,3.5,0.0,0.0,13.75,-9.109,1.889
120.0,11.135,0.0,3.5,0.0,0.0,15.965,-9.096,1.893
