# "1"
53.2 1.96


# "10"
62.4 1.29
64.4 1.92


# "100"
59.6 1.55
81.6 2.5


# "101"
74.0 2.92
75.2 2.51


# "103"
42.8 2.46


# "105"
60.0 1.32
61.2 2.06
85.6 1.97
83.2 2.68
86.4 2.44


# "108"
51.2 1.66
52.8 2.47


# "111"
70.8 1.81
80.4 1.65


# "112"
76.0 1.4
76.8 2.72


# "113"
63.2 1.39
64.8 2.36


# "114"
68.8 2.35
71.6 2.45


# "118"
28.0 1.49
29.6 2.62


# "122"
44.8 2.2


# "125"
42.8 1.36
45.6 2.02


# "127"
52.4 1.55
53.2 1.68


# "129"
70.8 0.82


# "13"
86.8 1.57
109.2 2.2


# "130"
41.6 1.33
42.8 2.65


# "132"
39.2 1.69


# "134"
49.2 1.56
51.2 2.32


# "136"
52.4 1.99
85.2 2.4
84.8 2.98


# "137"
68.8 1.58
70.4 2.31


# "14"
92.4 2.29
92.4 2.56
92.0 2.08


# "141"
67.2 2.3


# "143"
82.4 2.38
102.0 1.25


# "147"
72.0 2.11


# "149"
93.6 2.17


# "150"
55.6 1.67


# "156"
46.8 1.39
73.2 2.56
69.2 1.3


# "157"
37.6 1.97


# "158"
39.6 2.53


# "160"
53.6 1.51


# "161"
73.6 2.28


# "163"
72.8 1.84


# "164"
28.4 2.68


# "168"
95.6 1.52


# "169"
26.0 2.29


# "17"
65.2 1.75
67.2 2.02


# "170"
104.4 2.25
105.6 1.95


# "172"
54.0 1.97
61.2 1.34


# "175"
57.2 1.33


# "178"
37.2 1.33


# "18"
89.6 1.64
92.0 1.83


# "180"
58.4 1.93


# "184"
49.2 1.8
50.0 2.74


# "187"
62.4 1.92
82.0 2.55


# "189"
57.2 2.03


# "191"
38.8 1.43


# "192"
46.0 1.75
64.8 1.67


# "194"
95.6 1.85
94.4 2.93


# "197"
108.4 2.68
108.0 1.53


# "200"
40.0 2.59


# "202"
25.6 1.47
28.0 1.9


# "207"
32.8 1.81


# "208"
28.8 1.99
30.0 2.47


# "214"
46.0 1.51
47.2 2.15


# "217"
80.8 1.19


# "218"
69.6 1.71


# "219"
25.6 2.34


# "220"
56.4 1.95


# "222"
55.2 2.12
57.2 2.3


# "223"
36.8 1.35


# "229"
75.2 2.49
76.8 2.12


# "230"
74.0 1.17
75.2 2.03
73.6 2.21


# "231"
80.4 2.85


# "234"
44.0 2.0
70.0 2.43


# "235"
49.6 1.75


# "237"
71.2 2.28


# "239"
50.0 2.67
66.4 1.65


# "24"
44.4 2.62
44.4 1.45


# "241"
93.6 1.56
94.4 2.35
88.0 1.33
87.2 2.23


# "243"
48.0 1.9


# "244"
29.6 2.36
43.6 1.2


# "245"
32.4 2.38


# "25"
33.2 2.73


# "251"
100.8 1.85


# "256"
37.6 2.88


# "257"
73.6 1.26
73.6 2.46


# "258"
76.4 1.98
78.4 2.64


# "259"
30.8 1.73
40.8 2.91


# "261"
35.6 1.35


# "263"
34.4 1.21
35.6 1.58


# "264"
81.6 2.07
79.2 2.14


# "266"
65.2 1.34


# "267"
28.4 1.59


# "27"
36.8 1.58
38.4 2.31


# "271"
44.8 2.5


# "272"
60.8 2.62
64.8 2.93


# "273"
64.0 1.98


# "275"
53.6 1.63
54.4 2.16


# "283"
51.2 2.06


# "284"
36.0 1.82
38.0 2.2


# "289"
68.0 1.63


# "290"
54.0 2.12


# "291"
44.0 1.64
45.6 1.9


# "293"
76.4 1.36


# "294"
93.2 1.64
91.2 1.38
105.6 0.99
104.4 2.22
104.0 2.93
108.4 1.25


# "297"
50.0 2.29
52.4 2.86


# "298"
29.6 2.44


# "299"
47.6 1.86
48.8 2.13


# "30"
42.4 1.51


# "304"
103.2 2.82


# "305"
24.8 1.84


# "306"
63.6 1.9


# "31"
48.8 2.85
77.6 2.77


# "310"
90.0 1.5
92.4 1.89


# "311"
43.6 1.47


# "312"
75.2 1.7
76.4 2.93


# "314"
52.0 2.57
69.2 2.45


# "318"
38.4 1.79
54.4 1.4


# "322"
69.2 2.29


# "326"
28.0 1.85


# "328"
50.0 2.15
59.6 1.81


# "329"
85.2 2.05


# "331"
47.2 1.51


# "332"
38.4 2.48


# "336"
84.0 1.46


# "339"
45.6 1.48
47.2 1.72


# "34"
70.0 2.29


# "340"
46.4 2.16


# "341"
67.2 1.84
68.4 2.26


# "342"
47.2 1.86
48.8 1.76


# "343"
46.4 1.49
48.4 2.25


# "344"
46.0 1.49


# "346"
26.4 2.46


# "347"
68.4 1.28


# "349"
92.8 1.91
94.0 1.76


# "352"
77.2 1.45


# "353"
39.6 1.48
42.0 2.17
61.2 2.95


# "357"
114.4 2.39


# "358"
36.8 1.76


# "359"
48.0 1.48
49.2 2.1


# "361"
49.2 1.82


# "362"
38.8 1.97


# "363"
48.4 2.51
84.8 1.49
86.0 2.34


# "365"
68.8 2.98
73.2 2.07


# "367"
68.0 1.27


# "370"
58.4 2.5
92.8 1.43
93.6 2.64


# "371"
58.8 2.5


# "372"
31.2 2.63


# "373"
71.2 2.19


# "375"
73.2 2.01


# "377"
48.4 2.3
49.2 1.88


# "38"
74.8 1.81
75.6 2.0


# "384"
64.8 1.96
76.0 1.52


# "386"
99.2 2.84


# "388"
62.4 2.77


# "39"
23.6 1.68
24.8 1.57


# "391"
74.0 1.98


# "394"
98.4 1.57
100.4 2.15


# "395"
56.0 1.77


# "400"
77.6 1.38


# "404"
31.6 2.65


# "405"
30.0 1.84
46.8 1.16


# "408"
34.4 2.31
58.0 1.41


# "410"
34.8 1.33


# "412"
62.4 1.32
65.2 2.06
82.4 1.83


# "416"
74.4 1.67
74.8 2.51


# "419"
50.0 2.8


# "422"
56.0 1.85


# "424"
70.4 2.7


# "428"
43.6 2.75


# "429"
40.4 1.26


# "431"
54.4 1.39
59.2 1.9


# "435"
52.0 1.44


# "437"
72.8 1.39


# "439"
40.8 2.23


# "443"
68.4 2.92


# "447"
77.6 1.24
78.4 2.14


# "452"
30.8 2.45
61.2 1.83
62.0 2.67
60.8 2.92


# "453"
52.0 2.0


# "456"
32.0 2.69
60.0 2.56


# "458"
67.2 1.55
69.2 1.52


# "46"
54.0 1.44


# "464"
37.6 2.02


# "465"
41.2 2.81


# "466"
29.2 1.67


# "469"
44.8 2.42


# "470"
55.2 1.7


# "471"
50.0 2.55


# "478"
48.4 2.04


# "48"
104.0 1.58
104.0 2.77


# "482"
79.6 2.28


# "483"
22.8 1.26
54.8 1.62


# "485"
65.2 2.04


# "486"
35.6 1.52
70.8 1.67
72.4 1.53
73.6 2.5


# "487"
72.4 2.83


# "488"
74.0 1.26
75.6 1.55


# "489"
30.4 1.66
32.4 2.39


# "49"
59.6 1.93


# "492"
91.6 1.71
93.6 2.64


# "494"
77.2 1.81
78.0 1.56


# "495"
32.4 1.98
66.8 1.54


# "496"
74.4 2.91


# "498"
54.0 1.54
62.8 2.01


# "499"
44.4 1.26


# "5"
80.4 1.48
82.0 1.98


# "50"
29.2 2.68


# "52"
63.2 1.3
64.4 1.7


# "54"
26.4 1.28
27.2 1.81


# "57"
64.8 1.99
66.8 1.77


# "62"
60.0 2.35


# "63"
36.0 1.84
38.0 2.76


# "64"
81.2 1.52


# "66"
77.2 1.5


# "68"
75.2 1.5
76.8 2.37


# "69"
28.8 1.53
30.0 2.18


# "71"
46.4 1.59
47.6 1.67


# "73"
76.4 1.35
77.2 2.82


# "77"
51.2 2.32


# "82"
63.2 2.85
65.2 1.79


# "83"
59.6 2.05
61.6 1.69


# "88"
30.4 2.39


# "90"
33.2 1.91


# "95"
