tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
14.80;-road0_0;19.96;0.00;12.55;0.40;0.17;road1_0;4.10;0.00;0.10;tripinfo_vehicle_19 routing_vehicle_19 emissions_vehicle_19 battery_vehicle_19;14.40;vehicle_19;1;122.77;1.16;0.00;4.37;human;;0;0.00;0;0;0;0;0;68.130311;0
17.60;-road1_0;19.96;0.00;11.78;1.20;0.66;road2_0;4.10;0.00;5.16;tripinfo_vehicle_26 routing_vehicle_26 emissions_vehicle_26 battery_vehicle_26;16.40;vehicle_26;1;122.77;0.92;0.00;5.27;human;;0;0.00;0;0;0;0;0;51.343978;0
18.40;-road0_0;19.96;0.00;13.07;2.40;0.41;road1_0;4.10;0.00;3.76;tripinfo_vehicle_11 routing_vehicle_11 emissions_vehicle_11 battery_vehicle_11;16.00;vehicle_11;1;122.77;1.03;0.00;5.52;human;;0;0.00;0;0;0;0;0;65.751658;0
19.60;-road1_0;19.96;0.00;12.85;3.20;0.11;road2_0;4.10;0.00;3.48;tripinfo_vehicle_33 routing_vehicle_33 emissions_vehicle_33 battery_vehicle_33;16.40;vehicle_33;1;122.77;1.17;0.00;6.21;human;;0;0.00;0;0;0;0;0;63.832597;0
20.00;-road2_0;19.96;0.00;11.14;3.20;0.88;road3_0;4.10;0.00;0.14;tripinfo_vehicle_25 routing_vehicle_25 emissions_vehicle_25 battery_vehicle_25;16.80;vehicle_25;1;122.77;0.87;0.00;4.74;human;;0;0.00;0;0;0;0;0;55.154599;0
22.80;-road2_0;19.96;0.00;11.83;0.80;0.26;road0_0;4.10;0.00;5.98;tripinfo_vehicle_34 emissions_vehicle_34 battery_vehicle_34;22.00;vehicle_34;0;206.37;0.99;0.00;5.81;human;;0;0.00;0;0;0;0;0;69.914216;0
23.20;-road0_0;19.96;0.00;11.08;4.40;1.49;road1_0;4.10;0.00;3.24;tripinfo_vehicle_17 routing_vehicle_17 emissions_vehicle_17 battery_vehicle_17;18.80;vehicle_17;1;122.77;0.94;0.00;7.81;human;;0;0.00;0;0;0;0;0;50.325118;0
24.00;-road1_0;19.96;0.00;11.39;2.00;0.36;road3_0;4.10;0.00;5.30;tripinfo_vehicle_8 routing_vehicle_8 emissions_vehicle_8 battery_vehicle_8;22.00;vehicle_8;1;206.37;0.94;0.00;5.02;human;;0;0.00;0;0;0;0;0;68.571546;0
24.80;-road2_0;19.96;0.00;12.01;2.00;0.35;road0_0;4.10;0.00;4.69;tripinfo_vehicle_6 emissions_vehicle_6 battery_vehicle_6;22.80;vehicle_6;0;206.37;1.05;0.00;6.71;human;;0;0.00;0;0;0;0;0;75.057572;0
25.60;-road3_0;19.96;0.00;12.16;9.60;1.92;road0_0;4.10;0.00;2.89;tripinfo_vehicle_51 emissions_vehicle_51 battery_vehicle_51;16.00;vehicle_51;0;122.77;1.17;0.00;5.93;human;;0;0.00;0;0;0;0;0;60.917221;0
28.00;-road0_0;19.96;0.00;12.38;0.40;0.34;road3_0;4.10;0.00;6.33;tripinfo_vehicle_12 routing_vehicle_12 emissions_vehicle_12 battery_vehicle_12;27.60;vehicle_12;1;289.97;1.05;0.00;5.35;human;;0;0.00;0;0;0;0;0;95.644587;0
28.00;-road3_0;19.96;0.00;12.59;0.40;0.08;road2_0;4.10;0.00;8.02;tripinfo_vehicle_36 routing_vehicle_36 emissions_vehicle_36 battery_vehicle_36;27.60;vehicle_36;1;289.97;0.97;0.00;5.00;human;;0;0.00;0;0;0;0;0;88.093785;0
30.80;-road1_0;19.96;0.00;12.35;7.20;0.73;road2_0;4.10;0.00;3.31;tripinfo_vehicle_60 routing_vehicle_60 emissions_vehicle_60 battery_vehicle_60;23.60;vehicle_60;1;122.77;1.08;0.00;13.50;human;;1;3.20;0;0;0;0;0;60.913391;0
32.00;-road2_0;19.96;0.00;11.60;7.20;2.03;road0_0;4.10;0.00;2.22;tripinfo_vehicle_56 emissions_vehicle_56 battery_vehicle_56;24.80;vehicle_56;0;206.37;0.90;0.00;6.63;human;;0;0.00;0;0;0;0;0;72.662247;0
36.00;-road1_0;19.96;0.00;12.59;3.20;0.42;road0_0;4.10;0.00;2.78;tripinfo_vehicle_27 emissions_vehicle_27 battery_vehicle_27;32.80;vehicle_27;0;289.97;0.95;0.00;9.08;human;;0;0.00;0;0;0;0;0;96.254918;0
36.40;-road3_0;19.96;0.00;12.61;12.40;3.91;road1_0;4.10;0.00;2.49;tripinfo_vehicle_37 routing_vehicle_37 emissions_vehicle_37 battery_vehicle_37;24.00;vehicle_37;1;206.37;1.18;0.00;8.16;human;;1;0.40;0;0;0;0;0;82.969453;0
36.80;-road0_0;19.96;0.00;11.66;5.20;0.36;road2_0;4.10;0.00;3.62;tripinfo_vehicle_4 routing_vehicle_4 emissions_vehicle_4 battery_vehicle_4;31.60;vehicle_4;1;206.37;1.03;0.00;15.39;human;;1;4.80;0;0;0;0;0;72.579471;0
37.60;-road2_0;19.96;0.00;13.48;6.40;2.79;road1_0;4.10;0.00;2.52;tripinfo_vehicle_54 routing_vehicle_54 emissions_vehicle_54 battery_vehicle_54;31.20;vehicle_54;1;289.97;1.00;0.00;8.58;human;;0;0.00;0;0;0;0;0;109.790720;0
39.20;-road3_0;19.96;0.00;12.32;14.80;5.68;road1_0;4.10;0.00;2.77;tripinfo_vehicle_40 routing_vehicle_40 emissions_vehicle_40 battery_vehicle_40;24.40;vehicle_40;1;206.37;1.03;0.00;7.80;human;;0;0.00;0;0;0;0;0;80.679466;0
40.00;-road1_0;19.96;0.00;12.13;5.20;0.02;road0_0;4.10;0.00;2.41;tripinfo_vehicle_20 emissions_vehicle_20 battery_vehicle_20;34.80;vehicle_20;0;289.97;1.02;0.00;12.50;human;;0;0.00;0;0;0;0;0;94.566311;0
40.40;-road2_0;19.96;0.00;11.28;11.60;3.13;road0_0;4.10;0.00;2.19;tripinfo_vehicle_16 emissions_vehicle_16 battery_vehicle_16;28.80;vehicle_16;0;206.37;0.88;0.00;10.05;human;;0;0.00;0;0;0;0;0;64.703711;0
41.20;-road0_0;19.96;0.00;11.82;9.20;0.98;road2_0;4.10;0.00;1.27;tripinfo_vehicle_1 routing_vehicle_1 emissions_vehicle_1 battery_vehicle_1;32.00;vehicle_1;1;206.37;0.94;0.00;14.53;human;;1;2.40;0;0;0;0;0;77.474306;0
42.00;-road2_0;19.96;0.00;11.75;8.80;0.93;road1_0;4.10;0.00;1.82;tripinfo_vehicle_45 routing_vehicle_45 emissions_vehicle_45 battery_vehicle_45;33.20;vehicle_45;1;289.97;1.09;0.00;11.10;human;;0;0.00;0;0;0;0;0;93.898622;0
42.80;-road3_0;19.96;0.00;11.64;16.80;7.35;road1_0;4.10;0.00;0.72;tripinfo_vehicle_66 routing_vehicle_66 emissions_vehicle_66 battery_vehicle_66;26.00;vehicle_66;1;206.37;0.91;0.00;7.84;human;;0;0.00;0;0;0;0;0;73.292513;0
44.40;-road1_0;19.96;0.00;12.05;23.20;9.12;road2_0;4.10;0.00;3.28;tripinfo_vehicle_53 routing_vehicle_53 emissions_vehicle_53 battery_vehicle_53;21.20;vehicle_53;1;122.77;1.10;0.00;10.83;human;;0;0.00;0;0;0;0;0;53.032656;0
45.20;-road0_0;19.96;0.00;12.47;18.40;10.36;road2_0;4.10;0.00;1.32;tripinfo_vehicle_79 routing_vehicle_79 emissions_vehicle_79 battery_vehicle_79;26.80;vehicle_79;1;206.37;1.09;0.00;10.32;human;;0;0.00;0;0;0;0;0;79.876590;0
45.60;-road2_0;19.96;0.00;11.59;5.20;2.97;road3_0;4.10;0.00;3.40;tripinfo_vehicle_29 routing_vehicle_29 emissions_vehicle_29 battery_vehicle_29;40.40;vehicle_29;1;122.77;0.93;0.00;29.30;human;;1;20.00;0;0;0;0;0;52.584713;0
53.60;-road0_0;19.96;-0.00;11.98;25.20;9.23;road2_0;4.10;0.00;2.03;tripinfo_vehicle_55 routing_vehicle_55 emissions_vehicle_55 battery_vehicle_55;28.40;vehicle_55;1;206.37;1.00;0.00;11.96;human;;0;0.00;0;0;0;0;0;72.152411;0
55.60;-road2_0;19.96;0.00;12.22;18.40;2.19;road0_0;4.10;0.00;1.69;tripinfo_vehicle_38 emissions_vehicle_38 battery_vehicle_38;37.20;vehicle_38;0;206.37;1.10;0.00;20.87;human;;2;10.00;0;0;0;0;0;85.088858;0
56.40;-road0_0;19.96;0.00;13.37;29.20;9.09;road2_0;4.10;0.00;3.25;tripinfo_vehicle_21 routing_vehicle_21 emissions_vehicle_21 battery_vehicle_21;27.20;vehicle_21;1;206.37;1.01;0.00;10.72;human;;0;0.00;0;0;0;0;0;81.515184;0
