tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
15.20;-road1_0;19.96;0.00;13.19;0.80;0.00;road2_0;4.10;0.00;9.75;tripinfo_vehicle_69 routing_vehicle_69 emissions_vehicle_69 battery_vehicle_69;14.40;vehicle_69;1;122.77;1.02;0.00;4.06;human;;0;0.00;0;0;0;0;0;45.983315;0
18.40;-road1_0;19.96;0.00;12.71;1.60;0.40;road2_0;4.10;0.00;5.14;tripinfo_vehicle_29 routing_vehicle_29 emissions_vehicle_29 battery_vehicle_29;16.80;vehicle_29;1;122.77;0.93;0.00;5.49;human;;0;0.00;0;0;0;0;0;57.336568;0
21.60;-road2_0;19.96;0.00;12.71;0.40;0.00;road0_0;4.10;0.00;0.10;tripinfo_vehicle_35 emissions_vehicle_35 battery_vehicle_35;21.20;vehicle_35;0;206.37;1.02;0.00;4.64;human;;0;0.00;0;0;0;0;0;89.177499;0
23.60;-road0_0;19.96;0.00;12.53;10.00;0.00;road1_0;4.10;0.00;9.43;tripinfo_vehicle_31 routing_vehicle_31 emissions_vehicle_31 battery_vehicle_31;13.60;vehicle_31;1;122.77;1.15;0.00;3.61;human;;0;0.00;0;0;0;0;0;44.348306;0
24.40;-road2_0;19.96;0.00;12.46;2.40;2.00;road0_0;4.10;0.00;4.27;tripinfo_vehicle_57 emissions_vehicle_57 battery_vehicle_57;22.00;vehicle_57;0;206.37;1.14;0.00;5.84;human;;0;0.00;0;0;0;0;0;81.019354;0
27.20;-road2_0;19.96;0.00;12.05;0.40;0.00;road1_0;4.10;0.00;6.33;tripinfo_vehicle_0 routing_vehicle_0 emissions_vehicle_0 battery_vehicle_0;26.80;vehicle_0;1;289.97;1.06;0.00;4.79;human;;0;0.00;0;0;0;0;0;95.716523;0
28.40;-road0_0;19.96;0.00;12.60;0.80;0.00;road3_0;4.10;0.00;5.98;tripinfo_vehicle_45 routing_vehicle_45 emissions_vehicle_45 battery_vehicle_45;27.60;vehicle_45;1;289.97;1.09;0.00;5.52;human;;0;0.00;0;0;0;0;0;97.075046;0
28.40;-road3_0;19.96;0.00;10.68;6.40;0.00;road1_0;4.10;0.00;7.12;tripinfo_vehicle_55 routing_vehicle_55 emissions_vehicle_55 battery_vehicle_55;22.00;vehicle_55;1;206.37;1.00;0.00;5.61;human;;0;0.00;0;0;0;0;0;61.625014;0
29.60;-road2_0;19.96;0.00;13.29;1.20;0.00;road1_0;4.10;0.00;2.65;tripinfo_vehicle_30 routing_vehicle_30 emissions_vehicle_30 battery_vehicle_30;28.40;vehicle_30;1;289.97;1.18;0.00;6.03;human;;0;0.00;0;0;0;0;0;111.835772;0
31.60;-road0_0;19.96;0.00;11.37;6.80;0.00;road2_0;4.10;0.00;1.91;tripinfo_vehicle_7 routing_vehicle_7 emissions_vehicle_7 battery_vehicle_7;24.80;vehicle_7;1;206.37;0.89;0.00;6.35;human;;0;0.00;0;0;0;0;0;70.833583;0
32.40;-road2_0;19.96;0.00;8.31;4.40;0.00;road1_0;4.10;0.00;3.21;tripinfo_rl_0 routing_rl_0 emissions_rl_0 battery_rl_0 driverstaterl_0;28.00;rl_0;1;289.97;1.03;0.00;5.89;rlAnget;;0;0.00;0;0;0;0;0;82.860271;0
33.60;-road1_0;19.96;0.00;10.86;15.20;4.40;road2_0;4.10;0.00;1.68;tripinfo_vehicle_49 routing_vehicle_49 emissions_vehicle_49 battery_vehicle_49;18.40;vehicle_49;1;122.77;0.85;0.00;6.05;human;;0;0.00;0;0;0;0;0;50.461909;0
36.00;-road0_0;19.96;0.00;11.65;10.00;2.40;road2_0;4.10;0.00;2.41;tripinfo_vehicle_72 routing_vehicle_72 emissions_vehicle_72 battery_vehicle_72;26.00;vehicle_72;1;206.37;0.94;0.00;8.85;human;;0;0.00;0;0;0;0;0;72.248418;0
38.80;-road0_0;19.96;0.00;10.85;12.80;4.40;road2_0;4.10;0.00;1.80;tripinfo_vehicle_15 routing_vehicle_15 emissions_vehicle_15 battery_vehicle_15;26.00;vehicle_15;1;206.37;0.93;0.00;8.39;human;;0;0.00;0;0;0;0;0;67.473116;0
39.20;-road1_0;19.96;0.00;12.59;22.00;7.20;road2_0;4.10;0.00;3.40;tripinfo_vehicle_28 routing_vehicle_28 emissions_vehicle_28 battery_vehicle_28;17.20;vehicle_28;1;122.77;1.13;0.00;6.93;human;;0;0.00;0;0;0;0;0;60.036440;0
39.60;-road2_0;19.96;0.00;12.77;8.40;1.60;road3_0;4.10;0.00;1.41;tripinfo_vehicle_76 routing_vehicle_76 emissions_vehicle_76 battery_vehicle_76;31.20;vehicle_76;1;122.77;1.03;0.00;20.86;human;;1;10.80;0;0;0;0;0;64.676832;0
