tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
14.00;-road1_0;19.96;0.00;12.86;0.00;0.00;road2_0;4.10;0.00;7.97;tripinfo_vehicle_3 routing_vehicle_3 emissions_vehicle_3 battery_vehicle_3;14.00;vehicle_3;1;122.77;1.08;0.00;3.61;human;;0;0.00;0;0;0;0;0;53.316222;0
14.40;-road2_0;19.96;0.00;12.06;0.00;0.00;road3_0;4.10;0.00;5.99;tripinfo_vehicle_1 routing_vehicle_1 emissions_vehicle_1 battery_vehicle_1;14.40;vehicle_1;1;122.77;0.94;0.00;3.36;human;;0;0.00;0;0;0;0;0;54.357797;0
17.20;-road2_0;19.96;0.00;11.72;0.80;0.80;road3_0;4.10;0.00;1.73;tripinfo_vehicle_4 routing_vehicle_4 emissions_vehicle_4 battery_vehicle_4;16.40;vehicle_4;1;122.77;1.03;0.00;6.16;human;;0;0.00;0;0;0;0;0;57.908819;0
18.00;-road3_0;19.96;0.00;10.78;1.20;1.20;road0_0;4.10;0.00;4.97;tripinfo_vehicle_16 emissions_vehicle_16 battery_vehicle_16;16.80;vehicle_16;0;122.77;0.88;0.00;5.15;human;;0;0.00;0;0;0;0;0;45.526340;0
18.80;-road1_0;19.96;0.00;12.28;2.40;2.40;road2_0;4.10;0.00;1.63;tripinfo_vehicle_12 routing_vehicle_12 emissions_vehicle_12 battery_vehicle_12;16.40;vehicle_12;1;122.77;1.05;0.00;6.19;human;;0;0.00;0;0;0;0;0;63.271140;0
20.80;-road0_0;19.96;0.00;12.77;4.40;4.40;road1_0;4.10;0.00;3.67;tripinfo_vehicle_11 routing_vehicle_11 emissions_vehicle_11 battery_vehicle_11;16.40;vehicle_11;1;122.77;1.03;0.00;5.90;human;;0;0.00;0;0;0;0;0;60.788051;0
22.40;-road3_0;19.96;0.00;13.66;0.80;0.80;road1_0;4.10;0.00;5.55;tripinfo_vehicle_2 routing_vehicle_2 emissions_vehicle_2 battery_vehicle_2;21.60;vehicle_2;1;206.37;1.01;0.00;5.22;human;;0;0.00;0;0;0;0;0;85.289235;0
22.80;-road2_0;19.96;0.00;11.15;0.00;0.00;road0_0;4.10;0.00;5.33;tripinfo_vehicle_15 emissions_vehicle_15 battery_vehicle_15;22.80;vehicle_15;0;206.37;0.93;0.00;5.55;human;;0;0.00;0;0;0;0;0;63.913323;0
23.20;-road1_0;19.96;0.00;11.81;6.80;6.80;road2_0;4.10;0.00;2.48;tripinfo_vehicle_20 routing_vehicle_20 emissions_vehicle_20 battery_vehicle_20;16.40;vehicle_20;1;122.77;1.02;0.00;5.89;human;;0;0.00;0;0;0;0;0;57.783690;0
24.40;-road0_0;19.96;0.00;11.57;0.80;0.80;road2_0;4.10;0.00;1.85;tripinfo_vehicle_8 routing_vehicle_8 emissions_vehicle_8 battery_vehicle_8;23.60;vehicle_8;1;206.37;0.94;0.00;6.31;human;;0;0.00;0;0;0;0;0;74.946191;0
26.80;-road3_0;19.96;0.00;10.65;2.00;2.00;road1_0;4.10;0.00;2.36;tripinfo_vehicle_9 routing_vehicle_9 emissions_vehicle_9 battery_vehicle_9;24.80;vehicle_9;1;206.37;0.86;0.00;5.80;human;;0;0.00;0;0;0;0;0;67.365256;0
27.20;-road2_0;19.96;0.00;11.41;7.20;7.20;road3_0;4.10;0.00;3.11;tripinfo_vehicle_7 routing_vehicle_7 emissions_vehicle_7 battery_vehicle_7;20.00;vehicle_7;1;122.77;0.89;0.00;8.26;human;;0;0.00;0;0;0;0;0;50.087407;0
28.00;-road0_0;19.96;0.00;13.26;4.80;4.80;road2_0;4.10;0.00;2.50;tripinfo_vehicle_19 routing_vehicle_19 emissions_vehicle_19 battery_vehicle_19;23.20;vehicle_19;1;206.37;1.16;0.00;6.90;human;;0;0.00;0;0;0;0;0;89.387067;0
28.40;-road1_0;19.96;0.00;10.77;2.80;2.80;road3_0;4.10;0.00;2.71;tripinfo_vehicle_5 routing_vehicle_5 emissions_vehicle_5 battery_vehicle_5;25.60;vehicle_5;1;206.37;0.83;0.00;6.13;human;;0;0.00;0;0;0;0;0;64.710715;0
