# "0"
33.6 2.03


# "101"
38.4 1.71
40.0 1.54


# "105"
87.6 1.54


# "109"
40.0 1.02
40.8 2.27


# "11"
82.0 1.52


# "111"
46.8 2.88
47.6 1.96


# "114"
39.6 1.19
40.8 1.49


# "116"
63.6 2.01


# "117"
64.8 2.64


# "12"
37.6 1.54


# "121"
69.2 1.17
70.4 2.13


# "122"
46.8 1.44
48.0 2.17


# "123"
63.6 2.13


# "124"
68.4 1.23
69.6 1.95


# "125"
42.0 2.07


# "126"
21.6 0.99
53.6 2.87


# "133"
63.6 1.8


# "134"
41.2 1.7


# "135"
68.4 1.25
70.0 1.67


# "14"
55.6 1.76


# "144"
66.8 1.88


# "145"
70.8 1.07
72.4 2.19


# "147"
38.0 1.46
44.8 1.2


# "149"
42.0 1.88


# "15"
56.4 1.86
64.0 1.21
65.2 1.59


# "151"
68.0 2.6


# "152"
37.2 2.28
38.4 2.21


# "153"
58.8 1.39


# "155"
74.8 1.66
76.8 1.8


# "158"
62.0 1.48
78.4 1.22


# "160"
43.6 1.7
45.2 2.03


# "163"
25.2 1.43
26.8 1.87


# "165"
88.4 1.79
89.6 2.04


# "168"
80.4 1.54


# "169"
44.8 1.3


# "170"
40.0 2.11
42.4 2.76


# "171"
74.8 2.73


# "172"
48.4 1.34
49.6 1.59


# "173"
90.0 1.6
91.2 2.15


# "174"
71.2 1.28
72.8 1.85


# "175"
46.4 1.09
47.2 1.67


# "176"
25.2 1.84


# "177"
70.8 2.71


# "178"
65.6 2.78


# "18"
28.8 1.15


# "180"
48.8 2.51


# "181"
29.6 1.95


# "187"
63.2 1.1
63.6 2.73


# "188"
55.2 2.74
55.6 1.32
58.0 1.49
59.6 2.97


# "19"
48.0 1.33
50.0 1.89


# "192"
40.8 2.9


# "196"
82.8 1.83


# "197"
58.4 1.42
74.4 2.86


# "203"
60.0 2.75


# "205"
30.8 2.2


# "209"
35.2 1.1
36.8 2.08


# "21"
57.2 2.95


# "210"
45.2 1.2


# "211"
33.6 1.27


# "212"
51.2 2.87


# "215"
57.2 1.25
58.4 2.12


# "217"
48.4 1.58
50.0 2.13
50.8 2.39


# "218"
84.8 0.36
86.4 1.67
84.4 2.18


# "219"
66.4 1.84
67.2 1.88


# "22"
61.6 2.26
58.4 2.91


# "222"
59.6 2.26


# "223"
50.8 1.23


# "224"
41.2 1.65
42.0 1.97


# "227"
69.2 1.11
70.4 1.96


# "230"
80.0 1.27
81.6 2.11


# "232"
135.2 2.88


# "235"
40.4 1.85
41.2 1.96
54.0 2.74


# "236"
64.8 1.8


# "237"
50.0 2.55
60.4 1.65


# "239"
68.4 1.24
69.6 2.1


# "240"
92.8 2.77
81.6 1.57
93.2 1.79


# "243"
48.0 1.53
49.2 2.0


# "245"
56.8 1.57


# "247"
46.8 1.18
48.0 1.54


# "250"
36.8 1.83
69.6 2.75


# "251"
50.0 1.11
51.6 1.6


# "253"
38.4 1.44


# "259"
37.6 1.39
48.8 1.16


# "26"
44.8 1.68
47.6 1.95


# "261"
107.2 2.93


# "263"
59.2 1.25


# "264"
61.2 1.65
72.0 1.15


# "265"
53.2 2.01


# "266"
76.0 1.92


# "267"
28.8 1.41
30.0 1.71


# "268"
41.6 1.45
43.2 2.28


# "269"
43.2 2.41


# "27"
39.6 1.17
41.2 2.33


# "270"
34.0 1.49


# "271"
47.6 1.83
71.6 2.93


# "272"
30.0 1.84


# "273"
44.0 1.2


# "274"
48.8 1.78
50.0 2.22


# "276"
65.2 1.1


# "278"
40.8 2.97
42.0 1.59


# "281"
53.2 1.47
54.4 1.66


# "282"
80.8 2.72


# "287"
102.0 2.22


# "288"
35.6 1.21


# "29"
102.0 2.72


# "290"
71.2 2.04


# "294"
58.0 2.96


# "297"
67.6 1.4


# "301"
58.4 2.86
62.4 2.5
58.0 2.95


# "304"
51.2 1.17


# "305"
32.4 2.53


# "307"
75.6 2.13
79.6 2.5


# "31"
44.0 1.47


# "310"
76.0 2.84


# "312"
79.2 2.48


# "313"
50.4 1.59


# "317"
99.2 1.22
100.4 1.56


# "318"
42.8 1.74
45.2 2.21


# "319"
74.4 2.51
77.2 1.4


# "320"
54.4 1.43
56.8 2.35


# "321"
77.6 2.36
78.8 2.48


# "322"
50.8 2.65


# "33"
73.2 1.31


# "330"
70.8 1.26
72.0 1.85


# "332"
92.0 2.71


# "334"
47.2 1.5


# "336"
89.6 2.93


# "337"
59.2 1.13
61.2 2.28


# "338"
63.6 2.33


# "34"
67.2 2.96
69.6 1.37


# "342"
46.4 1.87
48.4 2.11


# "344"
58.4 1.28


# "346"
39.2 1.46


# "348"
89.6 2.07


# "352"
95.2 2.29


# "357"
32.4 2.86
36.0 1.73


# "360"
40.8 1.2
42.0 1.64


# "364"
26.4 1.25


# "367"
82.8 2.65


# "368"
31.6 1.68


# "374"
61.6 1.1
63.2 1.43


# "375"
68.8 1.82
69.6 2.45
67.2 2.66


# "376"
77.6 1.96


# "379"
40.0 1.93


# "38"
26.8 1.37
28.0 1.88


# "380"
70.4 1.94


# "382"
38.0 1.4
39.2 2.05


# "383"
30.8 2.11


# "384"
108.0 2.67


# "385"
48.4 1.2
49.6 1.96


# "386"
54.0 2.73
55.6 1.43


# "388"
45.2 2.95


# "390"
66.8 1.32
75.2 2.64


# "393"
88.8 0.0
88.0 2.73
91.6 1.52
91.6 2.6


# "395"
44.4 1.2
45.2 1.84
40.4 2.54
46.8 2.59


# "396"
58.8 2.3


# "397"
37.2 1.58


# "398"
51.6 1.58
53.2 2.58


# "399"
63.6 1.24
64.4 1.91


# "4"
50.4 2.36


# "400"
52.4 1.98
55.2 2.68


# "401"
42.4 2.2


# "404"
62.8 2.08
65.2 1.97


# "406"
54.8 1.17
56.4 1.67


# "408"
60.8 0.0


# "409"
57.2 1.46


# "411"
88.4 1.97
88.0 2.74


# "412"
66.8 2.59


# "414"
35.6 1.51
36.8 2.01


# "415"
52.8 1.3


# "416"
58.8 2.06


# "418"
87.2 1.51


# "419"
67.6 2.01


# "421"
95.2 2.24


# "422"
52.4 1.33
53.6 1.61


# "423"
36.4 1.72


# "424"
51.6 1.11
52.8 1.98


# "425"
24.8 1.53
26.0 2.27
60.4 0.86


# "426"
58.4 1.36


# "427"
78.8 2.62
80.8 1.33


# "43"
50.8 1.51
56.4 2.35
52.0 0.0
54.8 1.22


# "430"
53.6 1.91


# "431"
37.2 1.61


# "433"
83.6 1.27
98.0 1.8


# "434"
96.4 1.64
98.0 2.02


# "438"
73.2 1.51


# "439"
62.4 2.52


# "445"
81.2 1.56
80.4 0.0
81.6 2.92


# "448"
33.6 2.4


# "449"
80.4 1.36
81.6 2.03


# "451"
47.2 1.66


# "452"
51.6 1.3


# "455"
70.8 2.05


# "458"
36.4 1.7


# "459"
71.2 2.66


# "460"
53.6 2.18


# "461"
