tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
14.80;-road0_0;19.96;0.00;13.04;0.80;0.26;road1_0;4.10;0.00;8.17;tripinfo_vehicle_76 routing_vehicle_76 emissions_vehicle_76 battery_vehicle_76;14.00;vehicle_76;1;122.77;1.03;0.00;3.75;human;;0;0.00;0;0;0;0;0;53.396556;0
17.60;-road0_0;19.96;0.00;12.20;2.00;0.23;road1_0;4.10;0.00;5.28;tripinfo_vehicle_69 routing_vehicle_69 emissions_vehicle_69 battery_vehicle_69;15.60;vehicle_69;1;122.77;1.02;0.00;5.55;human;;0;0.00;0;0;0;0;0;55.919353;0
19.60;-road2_0;19.96;0.00;11.38;2.80;0.28;road3_0;4.10;0.00;2.37;tripinfo_vehicle_23 routing_vehicle_23 emissions_vehicle_23 battery_vehicle_23;16.80;vehicle_23;1;122.77;0.89;0.00;5.03;human;;0;0.00;0;0;0;0;0;55.349640;0
20.00;-road3_0;19.96;0.00;11.36;3.60;0.21;road0_0;4.10;0.00;2.74;tripinfo_vehicle_53 emissions_vehicle_53 battery_vehicle_53;16.40;vehicle_53;0;122.77;1.10;0.00;6.28;human;;0;0.00;0;0;0;0;0;56.284588;0
20.40;-road1_0;19.96;0.00;12.89;5.60;0.06;road2_0;4.10;0.00;3.08;tripinfo_vehicle_42 routing_vehicle_42 emissions_vehicle_42 battery_vehicle_42;14.80;vehicle_42;1;122.77;1.09;0.00;4.48;human;;0;0.00;0;0;0;0;0;67.573153;0
21.60;-road0_0;19.96;0.00;11.64;4.80;0.30;road1_0;4.10;0.00;6.22;tripinfo_vehicle_47 routing_vehicle_47 emissions_vehicle_47 battery_vehicle_47;16.80;vehicle_47;1;122.77;0.90;0.00;5.30;human;;0;0.00;0;0;0;0;0;45.111111;0
22.40;-road2_0;19.96;0.00;13.17;1.60;0.09;road0_0;4.10;0.00;9.75;tripinfo_vehicle_43 emissions_vehicle_43 battery_vehicle_43;20.80;vehicle_43;0;206.37;1.04;0.00;4.46;human;;0;0.00;0;0;0;0;0;66.664792;0
22.80;-road3_0;19.96;0.00;12.81;6.00;2.28;road0_0;4.10;0.00;2.45;tripinfo_vehicle_29 emissions_vehicle_29 battery_vehicle_29;16.80;vehicle_29;0;122.77;0.93;0.00;5.60;human;;0;0.00;0;0;0;0;0;62.848150;0
25.20;-road3_0;19.96;0.00;12.66;8.00;3.73;road0_0;4.10;0.00;3.34;tripinfo_vehicle_32 emissions_vehicle_32 battery_vehicle_32;17.20;vehicle_32;0;122.77;1.01;0.00;6.64;human;;0;0.00;0;0;0;0;0;61.390408;0
27.20;-road1_0;19.96;0.00;12.55;11.60;4.45;road2_0;4.10;0.00;1.93;tripinfo_vehicle_60 routing_vehicle_60 emissions_vehicle_60 battery_vehicle_60;15.60;vehicle_60;1;122.77;1.08;0.00;5.19;human;;0;0.00;0;0;0;0;0;65.720552;0
28.00;-road3_0;19.96;0.00;11.78;10.00;5.02;road0_0;4.10;0.00;0.64;tripinfo_vehicle_17 emissions_vehicle_17 battery_vehicle_17;18.00;vehicle_17;0;122.77;0.94;0.00;7.11;human;;0;0.00;0;0;0;0;0;55.430230;0
28.40;-road2_0;19.96;0.00;11.89;8.00;0.27;road3_0;4.10;0.00;4.68;tripinfo_vehicle_21 routing_vehicle_21 emissions_vehicle_21 battery_vehicle_21;20.40;vehicle_21;1;122.77;1.01;0.00;10.07;human;;1;1.20;0;0;0;0;0;54.197934;0
30.40;-road3_0;19.96;0.00;12.07;0.40;0.30;road2_0;4.10;0.00;6.33;tripinfo_vehicle_11 routing_vehicle_11 emissions_vehicle_11 battery_vehicle_11;30.00;vehicle_11;1;289.97;1.03;0.00;7.63;human;;0;0.00;0;0;0;0;0;92.194486;0
32.00;-road2_0;19.96;0.00;11.01;9.60;1.50;road3_0;4.10;0.00;1.24;tripinfo_vehicle_9 routing_vehicle_9 emissions_vehicle_9 battery_vehicle_9;22.40;vehicle_9;1;122.77;0.86;0.00;10.16;human;;1;0.40;0;0;0;0;0;51.364056;0
32.00;-road0_0;19.96;0.00;11.97;9.20;2.20;road2_0;4.10;0.00;2.13;tripinfo_vehicle_34 routing_vehicle_34 emissions_vehicle_34 battery_vehicle_34;22.80;vehicle_34;1;206.37;0.99;0.00;6.39;human;;0;0.00;0;0;0;0;0;81.756745;0
33.20;-road3_0;19.96;0.00;13.33;1.20;0.69;road2_0;4.10;0.00;1.18;tripinfo_vehicle_40 routing_vehicle_40 emissions_vehicle_40 battery_vehicle_40;32.00;vehicle_40;1;289.97;1.03;0.00;9.24;human;;0;0.00;0;0;0;0;0;108.788408;0
33.60;-road1_0;19.96;0.00;11.36;2.40;0.04;road0_0;4.10;0.00;5.40;tripinfo_vehicle_7 emissions_vehicle_7 battery_vehicle_7;31.20;vehicle_7;0;289.97;0.89;0.00;5.93;human;;0;0.00;0;0;0;0;0;81.323178;0
34.40;-road2_0;19.96;0.00;11.60;15.60;5.14;road3_0;4.10;0.00;0.78;tripinfo_vehicle_65 routing_vehicle_65 emissions_vehicle_65 battery_vehicle_65;18.80;vehicle_65;1;122.77;0.88;0.00;6.74;human;;0;0.00;0;0;0;0;0;55.613425;0
35.20;-road0_0;19.96;0.00;10.70;1.60;0.17;road3_0;4.10;0.00;4.97;tripinfo_vehicle_24 routing_vehicle_24 emissions_vehicle_24 battery_vehicle_24;33.60;vehicle_24;1;289.97;0.83;0.00;6.81;human;;0;0.00;0;0;0;0;0;72.783470;0
36.00;-road3_0;19.96;0.00;11.46;3.20;0.20;road2_0;4.10;0.00;2.94;tripinfo_vehicle_33 routing_vehicle_33 emissions_vehicle_33 battery_vehicle_33;32.80;vehicle_33;1;289.97;1.17;0.00;10.72;human;;0;0.00;0;0;0;0;0;95.028311;0
38.80;-road2_0;19.96;0.00;12.73;22.40;6.35;road3_0;4.10;0.00;2.09;tripinfo_vehicle_30 routing_vehicle_30 emissions_vehicle_30 battery_vehicle_30;16.40;vehicle_30;1;122.77;1.18;0.00;6.14;human;;0;0.00;0;0;0;0;0;65.938175;0
41.60;-road3_0;19.96;0.00;13.05;8.00;2.16;road1_0;4.10;0.00;0.55;tripinfo_vehicle_20 routing_vehicle_20 emissions_vehicle_20 battery_vehicle_20;33.60;vehicle_20;1;206.37;1.02;0.00;17.23;human;;1;0.80;0;0;0;0;0;84.481879;0
42.00;-road2_0;19.96;0.00;12.59;24.40;8.33;road3_0;4.10;0.00;2.29;tripinfo_vehicle_39 routing_vehicle_39 emissions_vehicle_39 battery_vehicle_39;17.60;vehicle_39;1;122.77;0.90;0.00;6.00;human;;0;0.00;0;0;0;0;0;61.513172;0
