tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
14.40;-road0_0;19.96;0.00;13.01;0.40;0.24;road1_0;4.10;0.00;6.33;tripinfo_vehicle_11 routing_vehicle_11 emissions_vehicle_11 battery_vehicle_11;14.00;vehicle_11;1;122.77;1.03;0.00;3.98;human;;0;0.00;0;0;0;0;0;60.431117;0
15.60;-road3_0;19.96;0.00;10.98;0.40;0.26;road0_0;4.10;0.00;0.10;tripinfo_vehicle_34 emissions_vehicle_34 battery_vehicle_34;15.20;vehicle_34;0;122.77;0.99;0.00;5.01;human;;0;0.00;0;0;0;0;0;56.116014;0
16.80;-road2_0;19.96;0.00;12.76;2.80;0.13;road3_0;4.10;0.00;2.65;tripinfo_vehicle_42 routing_vehicle_42 emissions_vehicle_42 battery_vehicle_42;14.00;vehicle_42;1;122.77;1.09;0.00;3.87;human;;0;0.00;0;0;0;0;0;66.859455;0
19.20;-road3_0;19.96;0.00;12.47;2.40;0.95;road0_0;4.10;0.00;4.27;tripinfo_vehicle_66 emissions_vehicle_66 battery_vehicle_66;16.80;vehicle_66;0;122.77;0.91;0.00;5.29;human;;0;0.00;0;0;0;0;0;56.556006;0
20.40;-road1_0;19.96;0.00;12.28;5.20;0.33;road2_0;4.10;0.00;9.75;tripinfo_vehicle_56 routing_vehicle_56 emissions_vehicle_56 battery_vehicle_56;15.20;vehicle_56;1;122.77;0.90;0.00;3.73;human;;0;0.00;0;0;0;0;0;38.729107;0
20.80;-road2_0;19.96;0.00;13.38;5.60;0.01;road3_0;4.10;0.00;2.59;tripinfo_vehicle_75 routing_vehicle_75 emissions_vehicle_75 battery_vehicle_75;15.20;vehicle_75;1;122.77;0.98;0.00;4.72;human;;0;0.00;0;0;0;0;0;68.835078;0
21.20;-road0_0;19.96;0.00;12.81;5.20;0.18;road1_0;4.10;0.00;6.45;tripinfo_vehicle_17 routing_vehicle_17 emissions_vehicle_17 battery_vehicle_17;16.00;vehicle_17;1;122.77;0.94;0.00;4.80;human;;0;0.00;0;0;0;0;0;54.248792;0
24.40;-road3_0;19.96;0.00;12.11;3.20;0.13;road1_0;4.10;0.00;5.48;tripinfo_vehicle_44 routing_vehicle_44 emissions_vehicle_44 battery_vehicle_44;21.20;vehicle_44;1;206.37;1.04;0.00;5.15;human;;0;0.00;0;0;0;0;0;74.600743;0
27.20;-road0_0;19.96;0.00;11.14;10.80;0.08;road1_0;4.10;0.00;2.80;tripinfo_vehicle_62 routing_vehicle_62 emissions_vehicle_62 battery_vehicle_62;16.40;vehicle_62;1;122.77;1.02;0.00;5.97;human;;0;0.00;0;0;0;0;0;53.358620;0
27.20;-road2_0;19.96;0.00;11.76;10.40;4.69;road3_0;4.10;0.00;0.64;tripinfo_vehicle_64 routing_vehicle_64 emissions_vehicle_64 battery_vehicle_64;16.80;vehicle_64;1;122.77;0.94;0.00;5.84;human;;0;0.00;0;0;0;0;0;58.924367;0
