sim_time,agent_id,agent_speed,agent_waiting,agent_acc,agent_jeck,agent_collision
21.2,rl_0,0.18791458600321775,0.0,0.20831555128097534,-0.24990883747988898,3
21.6,rl_0,0.14792917200643552,0.0,0.20740611851215363,0.0,4
22.0,rl_0,0.23054730722028743,0.0,0.20654533803462982,0.7662721825664633,5
22.4,rl_0,0.31282044478971494,0.0,0.20568284392356873,-0.0021562352776526017,6
22.8,rl_0,0.3946296198042108,0.0,0.20452293753623962,-0.002899765968322754,7
23.2,rl_0,0.47614717909414306,0.0,0.20379389822483063,-0.0018225982785224915,8
23.6,rl_0,0.5573582274587824,0.0,0.2030276209115982,-0.0019156932830808465,9
24.0,rl_0,0.6382550222547724,0.0,0.20224198698997498,-0.0019640848040583525,10
24.4,rl_0,0.7188909692438319,0.0,0.20158986747264862,-0.0016302987933154711,11
24.8,rl_0,0.7994666320951656,0.0,0.20143915712833405,-0.00037677586078657677,12
25.2,rl_0,0.8799806041391567,0.0,0.20128493010997772,-0.0003855675458908081,13
25.6,rl_0,0.9603982133539394,0.0,0.2010440230369568,-0.000602267682552754,14
26.0,rl_0,1.0407388670118527,0.0,0.20085163414478302,-0.00048097223043358506,15
26.4,rl_0,1.1209997100504117,0.0,0.2006521075963974,-0.0004988163709647442,16
26.8,rl_0,1.2011790616186337,0.0,0.20044837892055511,-0.0005093216896054353,17
27.2,rl_0,1.2813584131868558,0.0,0.20168755948543549,0.0,18
27.6,rl_0,1.3625538987787442,0.0,0.20298871397972107,0.006350837647914331,19
28.0,rl_0,1.4437493843706326,0.0,0.20414836704730988,0.0,20
28.4,rl_0,1.5258887154730039,0.0,0.20534832775592804,0.005899034440517981,20
28.8,rl_0,1.605686144319363,0.0,0.19949357211589813,-0.014636889100075323,20
29.2,rl_0,1.685577069011517,0.0,0.19972731173038483,0.000584349036217291,20
29.6,rl_0,1.7654284996660428,0.0,0.1996285766363144,-0.00024683773517664154,20
30.0,rl_0,1.8453893286855894,0.0,0.19990207254886627,0.0006837397813805324,20
30.4,rl_0,1.925350157705136,0.0,0.20155243575572968,0.0,20
30.8,rl_0,2.006680188861676,0.0,0.2033250778913498,0.008557513356208246,20
31.2,rl_0,2.088010220018216,0.0,0.2045510858297348,0.0,20
31.6,rl_0,2.170132110801526,0.0,0.20530472695827484,0.004949122667313732,20
32.0,rl_0,2.251944617715665,0.0,0.20453126728534698,-0.0019336491823201962,20
32.4,rl_0,2.3336030883463104,0.0,0.20414617657661438,-0.0009627267718331778,20
32.8,rl_0,2.41503476926405,0.0,0.20357920229434967,-0.0014174357056612186,20
33.2,rl_0,1.21503476926405,0.0,0.20269756019115448,-8.008948005735874,20
33.6,rl_0,0.015034769264049785,0.4,0.2021958976984024,0.0,20
34.0,rl_0,0.183495227492792,0.0,0.20355813205242157,8.55287786392964,20
34.4,rl_0,0.26544439593647184,0.0,0.20487292110919952,-0.54069556115664,20
34.8,rl_0,0.07368619538960786,0.4,0.2031887322664261,-1.7106710561908989,20
35.2,rl_0,0.0,0.8,0.20243792235851288,0.7379500322328508,20
35.6,rl_0,0.0,1.2,0.20274771749973297,0.46053872118504907,20
36.0,rl_0,0.0,1.6,0.20277787744998932,0.0,20
36.4,rl_0,0.0,2.0,0.20319239795207977,0.0,21
36.8,rl_0,0.0,2.4,0.20729047060012817,0.0,22
37.2,rl_0,0.0,2.8,0.20681700110435486,0.0,23
37.6,rl_0,0.0,3.2,0.20755012333393097,0.0,24
38.0,rl_0,0.0,3.6,0.20837286114692688,0.0,24
38.4,rl_0,0.0,4.0,0.2085915505886078,0.0,24
38.8,rl_0,0.0,4.4,0.20880146324634552,0.0,24
39.2,rl_0,0.0,4.8,0.2087991088628769,0.0,24
39.6,rl_0,0.0,5.2,0.2087853103876114,0.0,24
40.0,rl_0,0.0,5.6,0.20856304466724396,0.0,24
40.4,rl_0,0.0,6.0,0.20832307636737823,0.0,24
40.8,rl_0,0.0,6.4,0.20799507200717926,0.0,24
41.2,rl_0,0.0,6.8,0.20764626562595367,0.0,24
41.6,rl_0,0.0,7.2,0.20766352117061615,0.0,24
42.0,rl_0,0.0,7.6,0.20767007768154144,0.0,24
42.4,rl_0,0.0,8.0,0.20742838084697723,0.0,24
42.8,rl_0,0.0,8.4,0.20716677606105804,0.0,24
43.2,rl_0,0.0,8.8,0.20775724947452545,0.0,24
43.6,rl_0,0.0,9.2,0.2083556205034256,0.0,24
44.0,rl_0,0.0,9.6,0.20852558314800262,0.0,25
44.4,rl_0,0.0,10.0,0.20242173969745636,0.0,26
44.8,rl_0,0.0,10.4,0.2033693939447403,0.0,27
45.2,rl_0,0.0,10.8,0.20414061844348907,0.0,28
45.6,rl_0,0.0,11.2,0.2050342708826065,0.0,29
46.0,rl_0,0.0,11.6,0.20564793050289154,0.0,29
46.4,rl_0,0.0,12.0,0.20626519620418549,0.0,29
46.8,rl_0,0.0,12.4,0.20686247944831848,0.0,29
47.2,rl_0,0.0,12.8,0.20745731890201569,0.0,29
47.6,rl_0,0.0,13.2,0.20815210044384003,0.0,29
48.0,rl_0,0.0,13.6,0.2088441699743271,0.0,30
48.4,rl_0,0.0,14.0,0.20106537640094757,0.0,31
48.8,rl_0,0.0,14.4,0.20190384984016418,0.0,32
49.2,rl_0,0.0,14.8,0.2027367502450943,0.0,33
49.6,rl_0,0.0,15.2,0.20385213196277618,0.0,34
50.0,rl_0,0.0,15.6,0.20526912808418274,0.0,35
50.4,rl_0,0.0,16.0,0.20635996758937836,0.0,35
50.8,rl_0,0.0,16.4,0.2074454426765442,0.0,35
51.2,rl_0,0.0,16.8,0.20799028873443604,0.0,35
51.6,rl_0,0.0,17.2,0.20853076875209808,0.0,35
52.0,rl_0,0.0,17.6,0.2092711180448532,0.0,35
52.4,rl_0,0.0,18.0,0.21000732481479645,0.0,35
52.8,rl_0,0.0,18.4,0.2098228484392166,0.0,35
53.2,rl_0,0.0,18.8,0.20962423086166382,0.0,35
53.6,rl_0,0.0,19.2,0.20969052612781525,0.0,35
54.0,rl_0,0.0,19.6,0.20974676311016083,0.0,35
54.4,rl_0,0.0,20.0,0.20966674387454987,0.0,35
54.8,rl_0,0.0,20.4,0.20957355201244354,0.0,36
55.2,rl_0,0.0,20.8,0.20257790386676788,0.0,37
55.6,rl_0,0.0,21.2,0.2038249522447586,0.0,38
56.0,rl_0,0.0,21.6,0.20506100356578827,0.0,39
56.4,rl_0,0.0,22.0,0.20606659352779388,0.0,40
56.8,rl_0,0.0,22.4,0.20722763240337372,0.0,40
57.2,rl_0,0.0,22.8,0.2079458087682724,0.0,40
57.6,rl_0,0.0,23.2,0.20865915715694427,0.0,40
58.0,rl_0,0.0,23.6,0.2092294543981552,0.0,40
58.4,rl_0,0.0,24.0,0.2097938507795334,0.0,40
58.8,rl_0,0.0,24.4,0.21001870930194855,0.0,40
59.2,rl_0,0.0,24.8,0.210236057639122,0.0,40
59.6,rl_0,0.0,25.2,0.21106667816638947,0.0,40
60.0,rl_0,0.0,25.6,0.21189337968826294,0.0,40
60.4,rl_0,0.0,26.0,0.21199879050254822,0.0,40
60.8,rl_0,0.0,26.4,0.21209542453289032,0.0,40
61.2,rl_0,0.0,26.8,0.21286360919475555,0.0,41
61.6,rl_0,0.0,27.2,0.2026214301586151,0.0,42
62.0,rl_0,0.0,27.6,0.20347660779953003,0.0,43
62.4,rl_0,0.0,28.0,0.20432575047016144,0.0,44
62.8,rl_0,0.5,0.0,0.20539666712284088,3.125,45
63.2,rl_0,0.5828189551830292,0.0,0.20704738795757294,-2.6073815301060677,45
63.6,rl_0,0.6691012740135193,0.0,0.21570579707622528,0.02164602279663072,45
64.0,rl_0,0.7553835928440094,0.0,0.21578697860240936,0.0,45
64.4,rl_0,0.8417686879634857,0.0,0.2159627377986908,0.0006423518061640654,45
64.8,rl_0,0.928153783082962,0.0,0.21613317728042603,0.0,45
65.2,rl_0,1.0147924065589904,0.0,0.2165965586900711,0.0015845522284500813,45
65.6,rl_0,1.1014310300350187,0.0,0.21705569326877594,0.0,45
66.0,rl_0,1.18834815621376,0.0,0.21729281544685364,0.0017406418919563293,45
66.4,rl_0,1.2752652823925015,0.0,0.21752145886421204,0.0,45
66.8,rl_0,1.3625060915946956,0.0,0.21810202300548553,0.0020230188965797424,45
67.2,rl_0,1.4497469007968897,0.0,0.218678280711174,0.0,45
67.6,rl_0,1.5370229184627529,0.0,0.2181900441646576,0.0002200528979312555,45
68.0,rl_0,1.624094974994659,0.0,0.21768014132976532,-0.001274757087231515,45
68.4,rl_0,1.710851770639419,0.0,0.21689198911190033,-0.001970380544662198,45
68.8,rl_0,1.7972786188125605,0.0,0.2160671204328537,-0.0020621716976171323,45
69.2,rl_0,1.8833619415760035,0.0,0.21520830690860748,-0.0021470338106149844,45
69.6,rl_0,1.9690841197967524,0.0,0.21430544555187225,-0.0022571533918380737,45
70.0,rl_0,2.054538452625274,0.0,0.21363583207130432,-0.0016740337014195528,45
70.4,rl_0,2.132162553071975,0.0,0.19406025111675262,-0.04893895238638063,45
70.8,rl_0,2.20983121395111,0.0,0.19417165219783783,0.0002785027027135678,45
71.2,rl_0,2.287499874830245,0.0,0.1942976862192154,0.0,45
71.6,rl_0,2.3653912961482995,0.0,0.1947285532951355,0.0013922527432458365,45
72.0,rl_0,2.443282717466354,0.0,0.19517572224140167,0.0,45
72.4,rl_0,2.5213199913501736,0.0,0.19509318470954895,0.0009115785360336304,45
72.8,rl_0,2.599324250221252,0.0,0.19501064717769623,-0.00020634382963402587,45
73.2,rl_0,2.677292186021804,0.0,0.19491983950138092,-0.00022701919078771393,45
73.6,rl_0,2.755222481489181,0.0,0.19482573866844177,-0.00023525208234786987,45
74.0,rl_0,2.8330111503601065,0.0,0.19447167217731476,-0.0008851662278180905,45
74.4,rl_0,2.9106524705886834,0.0,0.19410330057144165,-0.0009209290146805493,45
74.8,rl_0,2.988416272401809,0.0,0.19440950453281403,0.0007655099034303836,45
75.2,rl_0,3.0661800742149348,0.0,0.1947294920682907,0.0,45
75.6,rl_0,3.1440272033214565,0.0,0.19461782276630402,0.0005207955837249756,45
76.0,rl_0,3.221828663349151,0.0,0.19450365006923676,-0.0002854317426692621,45
76.4,rl_0,3.2995622932910913,0.0,0.19433407485485077,-0.0004239380359649658,45
76.8,rl_0,3.377228540182113,0.0,0.19416561722755432,-0.0004211440682411194,45
77.2,rl_0,3.454990088939666,0.0,0.19440387189388275,0.0005956366658205203,45
77.6,rl_0,3.532751637697219,0.0,0.19464771449565887,0.0,45
78.0,rl_0,3.610616874694823,0.0,0.19466309249401093,0.0006480515003209897,45
78.4,rl_0,3.6884821116924273,0.0,0.19468146562576294,0.0,45
78.8,rl_0,3.7663823962211596,0.0,0.19475071132183075,0.00021904706954956055,45
79.2,rl_0,3.8442826807498918,0.0,0.19481520354747772,0.0,45
79.6,rl_0,3.9223342657089217,0.0,0.19512896239757538,0.0009456276893610172,45
80.0,rl_0,4.000385850667952,0.0,0.19545219838619232,0.0,45
80.4,rl_0,4.078588271141051,0.0,0.1955060511827469,0.0009427219629321026,45
80.8,rl_0,4.15679069161415,0.0,0.1955530196428299,0.0,45
81.2,rl_0,4.234837043285369,0.0,0.19511587917804718,-0.000975430011751488,45
81.6,rl_0,4.312705099582671,0.0,0.19467014074325562,-0.0011143460869778021,45
82.0,rl_0,4.390648031234741,0.0,0.19485732913017273,0.00046797096729389587,45
82.4,rl_0,4.46859096288681,0.0,0.19504596292972565,0.0,45
82.8,rl_0,4.546664291620254,0.0,0.19518332183361053,0.000814981758590072,45
83.2,rl_0,4.624737620353698,0.0,0.19533933699131012,0.0,45
83.6,rl_0,4.70259284377098,0.0,0.19463805854320526,-0.0013631582260087427,45
84.0,rl_0,4.780156236886977,0.0,0.1939084827899933,-0.0018239393830332684,45
84.4,rl_0,4.857831591367721,0.0,0.19418838620185852,0.0006997585296653064,45
84.8,rl_0,4.935506945848465,0.0,0.19447004795074463,0.0,45
85.2,rl_0,5.013368916511535,0.0,0.1946549266576767,0.00116635113954211,45
85.6,rl_0,5.091230887174605,0.0,0.19486333429813385,0.0,45
86.0,rl_0,5.1691868185997,0.0,0.1948898285627365,0.0005872547626517566,45
86.4,rl_0,5.2471427500247945,0.0,0.19490322470664978,0.0,45
86.8,rl_0,5.324939221143722,0.0,0.1944911777973175,-0.0009966269135464056,45
87.2,rl_0,5.402563697099684,0.0,0.19406118988990784,-0.0010749697685275006,45
87.6,rl_0,5.480364584922789,0.0,0.19450221955776215,0.001102574169636883,45
88.0,rl_0,5.558165472745894,0.0,0.19498895108699799,0.0,45
88.4,rl_0,5.636216896772383,0.0,0.19512856006622314,0.0015658512711513861,45
88.8,rl_0,5.714268320798872,0.0,0.20459190011024475,0.0,45
89.2,rl_0,5.795883977413175,0.0,0.20403914153575897,0.02227645367384179,45
89.6,rl_0,5.877273601293561,0.0,0.20347405970096588,-0.0014127045869838373,45
90.0,rl_0,5.958838963508604,0.0,0.20391340553760529,0.0010983645916007312,45
90.4,rl_0,6.036874312162397,0.0,0.19508837163448334,-0.02206258475780376,45
90.8,rl_0,6.114709925651549,0.0,0.1945890337228775,-0.0012483447790145874,45
91.2,rl_0,6.192357301712034,0.0,0.1941184401512146,-0.0011764839291605877,45
91.6,rl_0,6.269987303018568,0.0,0.19407500326633453,-0.0001085922122001648,45
92.0,rl_0,6.347599083185194,0.0,0.19402945041656494,-0.00011388212442509094,45
92.4,rl_0,6.425189232826231,0.0,0.19397537410259247,-0.0001351907849278522,45
92.8,rl_0,6.5027579009532905,0.0,0.19392167031764984,-0.00013425946235878783,45
