tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
16.80;-road0_0;19.96;0.00;12.95;2.00;0.38;road1_0;4.10;0.00;2.65;tripinfo_vehicle_78 routing_vehicle_78 emissions_vehicle_78 battery_vehicle_78;14.80;vehicle_78;1;122.77;1.01;0.00;4.41;human;;0;0.00;0;0;0;0;0;66.685863;0
18.40;-road3_0;19.96;0.00;12.01;2.40;0.77;road0_0;4.10;0.00;4.69;tripinfo_vehicle_0 emissions_vehicle_0 battery_vehicle_0;16.00;vehicle_0;0;122.77;1.06;0.00;5.56;human;;0;0.00;0;0;0;0;0;55.593220;0
22.00;-road0_0;19.96;0.00;13.42;0.40;0.01;road2_0;4.10;0.00;6.28;tripinfo_vehicle_75 routing_vehicle_75 emissions_vehicle_75 battery_vehicle_75;21.60;vehicle_75;1;206.37;0.98;0.00;4.91;human;;0;0.00;0;0;0;0;0;80.279485;0
24.00;-road1_0;19.96;0.00;12.11;1.20;0.03;road3_0;4.10;0.00;1.13;tripinfo_vehicle_27 routing_vehicle_27 emissions_vehicle_27 battery_vehicle_27;22.80;vehicle_27;1;206.37;0.95;0.00;5.80;human;;0;0.00;0;0;0;0;0;79.392280;0
24.80;-road2_0;19.96;0.00;11.73;1.20;0.37;road0_0;4.10;0.00;5.46;tripinfo_vehicle_66 emissions_vehicle_66 battery_vehicle_66;23.60;vehicle_66;0;206.37;0.91;0.00;5.78;human;;0;0.00;0;0;0;0;0;65.261536;0
26.40;-road1_0;19.96;0.00;12.26;2.80;0.14;road3_0;4.10;0.00;4.18;tripinfo_vehicle_46 routing_vehicle_46 emissions_vehicle_46 battery_vehicle_46;23.60;vehicle_46;1;206.37;1.00;0.00;7.30;human;;0;0.00;0;0;0;0;0;77.357203;0
27.60;-road0_0;19.96;0.00;11.64;4.80;1.77;road2_0;4.10;0.00;2.77;tripinfo_vehicle_10 routing_vehicle_10 emissions_vehicle_10 battery_vehicle_10;22.80;vehicle_10;1;206.37;1.09;0.00;6.69;human;;0;0.00;0;0;0;0;0;78.083259;0
28.80;-road1_0;19.96;0.00;12.13;4.40;0.70;road3_0;4.10;0.00;0.87;tripinfo_vehicle_44 routing_vehicle_44 emissions_vehicle_44 battery_vehicle_44;24.40;vehicle_44;1;206.37;1.04;0.00;8.14;human;;0;0.00;0;0;0;0;0;80.548955;0
30.80;-road3_0;19.96;0.00;13.52;1.20;0.71;road2_0;4.10;0.00;5.15;tripinfo_vehicle_77 routing_vehicle_77 emissions_vehicle_77 battery_vehicle_77;29.60;vehicle_77;1;289.97;0.98;0.00;6.81;human;;0;0.00;0;0;0;0;0;103.064362;0
31.20;-road1_0;19.96;0.00;12.39;6.80;2.69;road3_0;4.10;0.00;2.45;tripinfo_vehicle_53 routing_vehicle_53 emissions_vehicle_53 battery_vehicle_53;24.40;vehicle_53;1;206.37;1.10;0.00;8.15;human;;0;0.00;0;0;0;0;0;79.911028;0
32.40;-road3_0;19.96;0.00;12.99;2.40;0.81;road2_0;4.10;0.00;1.97;tripinfo_vehicle_38 routing_vehicle_38 emissions_vehicle_38 battery_vehicle_38;30.00;vehicle_38;1;289.97;1.10;0.00;7.69;human;;0;0.00;0;0;0;0;0;108.368927;0
33.20;-road0_0;19.96;0.00;11.99;7.60;1.89;road1_0;4.10;0.00;3.84;tripinfo_vehicle_61 routing_vehicle_61 emissions_vehicle_61 battery_vehicle_61;25.60;vehicle_61;1;122.77;1.12;0.00;15.52;human;;1;5.60;0;0;0;0;0;57.348085;0
