# "0"
32.8 2.1


# "1"
99.2 1.99


# "10"
36.8 2.66
38.0 2.61
63.2 2.5


# "106"
37.6 2.55


# "107"
60.4 1.23
62.0 1.75


# "108"
63.2 2.73


# "109"
40.8 2.36


# "116"
41.6 1.19
42.8 1.81


# "117"
42.4 2.57


# "119"
55.6 1.58
57.6 2.77


# "12"
55.6 1.63


# "124"
63.2 1.21


# "126"
21.6 1.14
24.4 2.61
51.6 2.21


# "128"
96.8 1.86


# "13"
99.2 1.92


# "131"
52.8 1.51


# "133"
88.0 1.71
88.0 2.96


# "134"
41.2 2.54


# "135"
74.4 2.33


# "136"
53.2 1.34


# "137"
41.2 1.66


# "140"
40.4 1.69


# "141"
34.8 2.76


# "143"
43.2 1.98
44.0 2.71


# "147"
43.2 2.89


# "148"
55.2 1.45
56.0 2.77


# "149"
40.0 1.83


# "152"
37.2 1.51
63.6 1.29


# "153"
60.8 2.39
62.4 2.54


# "154"
91.6 2.88


# "159"
71.2 1.29
72.4 1.42


# "16"
67.6 1.45


# "161"
64.8 0.92


# "162"
54.4 1.77


# "163"
30.8 1.41
32.8 2.68


# "164"
90.0 1.94


# "165"
86.8 1.77
88.4 1.95


# "169"
46.0 1.39


# "170"
50.0 2.65


# "175"
78.8 2.24
77.2 1.97


# "176"
43.6 1.31
45.2 2.1
67.6 0.97


# "179"
47.6 1.24
48.8 1.82


# "183"
29.2 1.24


# "188"
63.6 2.8
65.2 1.48


# "189"
52.0 1.78


# "190"
90.0 1.34
121.6 1.75


# "191"
63.6 1.65


# "194"
77.2 1.92


# "195"
40.4 1.5
49.6 1.53
63.6 2.9
61.2 2.25


# "198"
90.8 1.78


# "201"
89.2 1.71


# "202"
90.8 2.72


# "204"
50.4 2.3


# "205"
48.0 1.18


# "209"
35.6 1.23
36.4 2.37


# "211"
32.0 1.79


# "213"
34.4 1.58


# "214"
56.0 1.72


# "215"
71.2 2.12


# "220"
79.2 1.14
80.0 2.39


# "221"
69.6 1.59
70.8 2.05


# "222"
54.0 2.51


# "224"
38.8 1.34
40.0 1.52


# "227"
91.6 2.76


# "229"
59.6 2.27


# "23"
36.8 2.75


# "230"
84.0 2.23


# "231"
34.0 1.67
35.2 2.16


# "232"
65.2 1.56
66.4 2.95


# "233"
69.6 1.83
71.6 2.04


# "234"
62.0 2.06


# "235"
73.2 2.57
69.2 1.74


# "236"
76.8 1.95
78.0 2.52


# "237"
81.2 1.58
82.4 2.48


# "238"
58.4 3.0


# "239"
54.4 1.43


# "24"
50.4 0.89


# "240"
78.4 2.8


# "241"
43.6 2.4
44.8 2.84


# "246"
71.6 1.7
73.2 2.52


# "247"
50.8 1.36
52.0 2.31


# "249"
38.0 1.69


# "259"
37.6 2.09


# "26"
49.2 1.46


# "261"
76.4 2.19
100.0 0.47


# "263"
38.0 1.37


# "265"
64.0 2.17
65.2 2.13


# "266"
44.4 2.36


# "267"
28.4 1.9
30.4 2.71


# "268"
41.6 1.36
42.8 2.33


# "27"
38.8 1.77


# "271"
50.4 2.0


# "275"
43.6 1.7


# "276"
98.4 2.61


# "277"
62.0 2.69


# "278"
66.8 2.71


# "279"
50.0 1.78


# "28"
52.8 2.51


# "281"
66.4 2.34
64.8 1.58
79.2 2.98
76.4 1.62


# "282"
61.2 2.9


# "286"
86.4 2.0


# "287"
96.4 2.89
104.0 2.52


# "288"
46.8 1.89


# "289"
47.6 1.58


# "29"
88.4 2.41


# "291"
48.0 2.36
52.8 1.41


# "292"
50.8 2.02


# "293"
34.4 1.41


# "294"
55.2 1.26
56.4 1.93


# "298"
63.6 2.76


# "30"
92.4 2.41


# "300"
48.8 1.96
50.0 2.08
70.0 1.74


# "304"
44.8 1.42
74.0 1.18
73.6 2.66


# "306"
60.8 2.84


# "307"
40.0 1.7
41.2 2.73


# "308"
77.2 2.78


# "31"
39.6 1.64
41.2 1.86


# "312"
73.6 1.36


# "313"
70.4 2.13


# "316"
52.4 1.52


# "317"
88.0 1.32
102.8 1.65
89.2 1.86


# "318"
61.6 1.04


# "32"
41.2 2.72
64.0 1.41


# "33"
102.4 2.99


# "330"
71.6 2.09


# "331"
67.6 2.13
68.8 0.86
71.6 1.43


# "332"
73.2 2.7
86.8 2.84


# "334"
48.4 1.39
49.2 1.87


# "335"
40.0 1.16
41.6 1.8


# "337"
57.6 1.76


# "338"
56.0 1.3
57.2 1.79


# "341"
73.2 1.32
75.6 1.58
72.8 2.9
77.6 1.95


# "342"
98.8 1.55
99.6 2.67


# "343"
88.4 1.34
89.6 1.87


# "344"
38.8 1.22
40.0 1.97


# "345"
72.0 2.12
73.2 2.85


# "347"
32.0 1.16
32.8 1.71


# "353"
59.2 1.85
61.2 2.77


# "354"
59.6 2.97


# "355"
62.0 1.97


# "356"
88.0 1.28


# "357"
41.2 2.04


# "359"
62.8 1.61


# "360"
39.2 1.24
40.4 1.69


# "363"
77.6 1.76
79.2 2.44


# "365"
74.8 2.92


# "366"
77.2 1.56


# "369"
76.4 2.39


# "370"
76.0 2.99
74.4 2.75


# "371"
40.4 2.18


# "374"
68.4 1.27


# "38"
58.8 1.8


# "383"
30.4 1.27
31.6 2.14


# "386"
55.6 1.87


# "390"
65.6 1.61
66.8 2.54


# "393"
74.4 2.73


# "394"
50.4 2.86
51.6 0.77


# "395"
48.0 1.34


# "396"
63.6 2.6
64.0 1.9


# "400"
39.6 1.69
42.0 2.33


# "401"
51.6 2.92
54.8 1.73


# "402"
31.6 2.35


# "404"
83.6 2.16
84.8 2.71


# "408"
46.8 2.41
68.4 2.82


# "409"
38.4 1.46
40.8 2.4


# "411"
93.6 0.82


# "414"
38.0 1.72


# "416"
71.6 2.97
70.4 2.56


# "418"
58.0 2.32
70.8 1.33


# "42"
42.4 1.08
43.6 1.79


# "422"
70.8 1.19
72.0 2.21


# "423"
39.2 2.19
51.2 1.19


# "425"
57.6 1.22
58.4 1.92


# "426"
78.4 0.84
79.6 1.55
80.8 2.99


# "427"
96.4 2.7
98.4 0.65


# "429"
52.4 1.56
53.6 2.32


# "43"
70.4 1.76
72.4 2.07
85.2 1.29


# "431"
42.4 1.78


# "433"
69.2 2.48


# "436"
56.0 1.3
57.2 1.82


# "437"
64.4 1.57


# "438"
61.2 1.67
74.8 2.72


# "439"
50.0 1.61


# "441"
62.4 1.29


# "442"
82.0 1.42


# "443"
41.2 1.88


# "446"
66.0 1.25
67.2 1.8


# "45"
62.0 1.54


# "450"
48.4 2.61


# "451"
43.6 2.22
45.6 2.46


# "452"
72.8 1.75


# "455"
80.4 1.38
81.2 2.45


# "458"
49.6 1.99


# "459"
84.8 0.89


# "461"
74.8 2.85
73.6 2.43


# "462"
25.2 2.2


# "464"
77.6 2.78
78.4 1.14


# "466"
40.8 1.67


# "470"
60.4 1.27
61.6 2.1


# "471"
72.8 1.2

