tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
16.00;-road2_0;19.96;0.00;12.78;0.40;0.00;road3_0;4.10;0.00;0.10;tripinfo_vehicle_68 routing_vehicle_68 emissions_vehicle_68 battery_vehicle_68;15.60;vehicle_68;1;122.77;1.04;0.00;4.97;human;;0;0.00;0;0;0;0;0;66.923479;0
17.20;-road3_0;19.96;0.00;11.17;2.80;0.00;road0_0;4.10;0.00;7.58;tripinfo_vehicle_70 emissions_vehicle_70 battery_vehicle_70;14.40;vehicle_70;0;122.77;1.02;0.00;4.35;human;;0;0.00;0;0;0;0;0;42.441387;0
18.40;-road2_0;19.96;0.00;13.29;2.40;0.80;road3_0;4.10;0.00;3.55;tripinfo_vehicle_73 routing_vehicle_73 emissions_vehicle_73 battery_vehicle_73;16.00;vehicle_73;1;122.77;1.06;0.00;5.65;human;;0;0.00;0;0;0;0;0;66.286133;0
21.60;-road3_0;19.96;0.00;12.70;1.20;0.00;road1_0;4.10;0.00;8.17;tripinfo_vehicle_38 routing_vehicle_38 emissions_vehicle_38 battery_vehicle_38;20.40;vehicle_38;1;206.37;1.10;0.00;4.25;human;;0;0.00;0;0;0;0;0;70.274301;0
22.40;-road0_0;19.96;0.00;12.83;1.20;0.00;road2_0;4.10;0.00;5.98;tripinfo_vehicle_44 routing_vehicle_44 emissions_vehicle_44 battery_vehicle_44;21.20;vehicle_44;1;206.37;1.04;0.00;4.77;human;;0;0.00;0;0;0;0;0;78.265962;0
24.00;-road3_0;19.96;0.00;12.28;2.00;0.80;road1_0;4.10;0.00;2.65;tripinfo_vehicle_42 routing_vehicle_42 emissions_vehicle_42 battery_vehicle_42;22.00;vehicle_42;1;206.37;1.09;0.00;5.71;human;;0;0.00;0;0;0;0;0;82.793366;0
26.40;-road0_0;19.96;0.00;12.44;2.40;0.80;road2_0;4.10;0.00;1.40;tripinfo_vehicle_67 routing_vehicle_67 emissions_vehicle_67 battery_vehicle_67;24.00;vehicle_67;1;206.37;0.91;0.00;5.81;human;;0;0.00;0;0;0;0;0;77.344809;0
27.60;-road1_0;19.96;0.00;13.58;0.40;0.00;road0_0;4.10;0.00;6.33;tripinfo_vehicle_30 emissions_vehicle_30 battery_vehicle_30;27.20;vehicle_30;0;289.97;1.18;0.00;5.04;human;;0;0.00;0;0;0;0;0;103.058490;0
29.60;-road0_0;19.96;0.00;11.17;7.60;0.00;road2_0;4.10;0.00;0.15;tripinfo_vehicle_3 routing_vehicle_3 emissions_vehicle_3 battery_vehicle_3;22.00;vehicle_3;1;206.37;1.08;0.00;5.70;human;;0;0.00;0;0;0;0;0;76.752976;0
31.60;-road0_0;19.96;0.00;12.05;9.60;1.20;road2_0;4.10;0.00;3.86;tripinfo_vehicle_28 routing_vehicle_28 emissions_vehicle_28 battery_vehicle_28;22.00;vehicle_28;1;206.37;1.13;0.00;5.86;human;;0;0.00;0;0;0;0;0;79.282792;0
33.60;-road1_0;19.96;0.00;12.07;3.60;0.40;road0_0;4.10;0.00;5.22;tripinfo_vehicle_34 emissions_vehicle_34 battery_vehicle_34;30.00;vehicle_34;0;289.97;0.99;0.00;7.50;human;;0;0.00;0;0;0;0;0;94.942666;0
33.60;-road2_0;19.96;0.00;12.25;4.00;1.20;road1_0;4.10;0.00;2.63;tripinfo_vehicle_71 routing_vehicle_71 emissions_vehicle_71 battery_vehicle_71;29.60;vehicle_71;1;289.97;0.97;0.00;6.86;human;;0;0.00;0;0;0;0;0;99.001022;0
34.40;-road3_0;19.96;0.00;13.35;4.00;1.20;road2_0;4.10;0.00;2.90;tripinfo_vehicle_41 routing_vehicle_41 emissions_vehicle_41 battery_vehicle_41;30.40;vehicle_41;1;289.97;0.96;0.00;7.00;human;;0;0.00;0;0;0;0;0;105.946936;0
34.40;-road0_0;19.96;0.00;12.57;11.20;2.00;road2_0;4.10;0.00;2.78;tripinfo_vehicle_75 routing_vehicle_75 emissions_vehicle_75 battery_vehicle_75;23.20;vehicle_75;1;206.37;0.98;0.00;6.59;human;;0;0.00;0;0;0;0;0;82.994690;0
38.80;-road1_0;19.96;0.00;10.95;6.00;1.60;road3_0;4.10;0.00;2.67;tripinfo_vehicle_9 routing_vehicle_9 emissions_vehicle_9 battery_vehicle_9;32.80;vehicle_9;1;206.37;0.86;0.00;13.67;human;;1;2.80;0;0;0;0;0;64.820206;0
38.80;-road2_0;19.96;0.00;12.80;9.60;3.20;road0_0;4.10;0.00;2.06;tripinfo_rl_0 emissions_rl_0 battery_rl_0 ssm_rl_0 driverstaterl_0;29.20;rl_0;0;206.37;1.03;0.00;12.72;rlAnget;;7;4.00;0;0;0;0;0;89.806437;0
