tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
16.80;-road2_0;19.96;0.00;12.53;2.00;0.25;road3_0;4.10;0.00;1.18;tripinfo_vehicle_58 routing_vehicle_58 emissions_vehicle_58 battery_vehicle_58;14.80;vehicle_58;1;122.77;1.02;0.00;4.64;human;;0;0.00;0;0;0;0;0;66.593485;0
18.40;-road0_0;19.96;0.00;11.89;1.60;0.28;road1_0;4.10;0.00;5.55;tripinfo_vehicle_49 routing_vehicle_49 emissions_vehicle_49 battery_vehicle_49;16.80;vehicle_49;1;122.77;0.85;0.00;4.51;human;;0;0.00;0;0;0;0;0;50.379636;0
19.60;-road2_0;19.96;0.00;13.48;3.60;1.91;road3_0;4.10;0.00;2.65;tripinfo_vehicle_62 routing_vehicle_62 emissions_vehicle_62 battery_vehicle_62;16.00;vehicle_62;1;122.77;1.02;0.00;5.44;human;;0;0.00;0;0;0;0;0;70.024433;0
25.60;-road0_0;19.96;0.00;11.85;0.80;0.33;road2_0;4.10;0.00;0.09;tripinfo_vehicle_25 routing_vehicle_25 emissions_vehicle_25 battery_vehicle_25;24.80;vehicle_25;1;206.37;0.87;0.00;6.25;human;;0;0.00;0;0;0;0;0;73.367489;0
27.60;-road2_0;19.96;0.00;11.24;3.60;0.12;road0_0;4.10;0.00;4.97;tripinfo_vehicle_47 emissions_vehicle_47 battery_vehicle_47;24.00;vehicle_47;0;206.37;0.90;0.00;5.90;human;;0;0.00;0;0;0;0;0;63.731623;0
28.00;-road1_0;19.96;0.00;13.58;14.40;0.25;road2_0;4.10;0.00;10.54;tripinfo_vehicle_61 routing_vehicle_61 emissions_vehicle_61 battery_vehicle_61;13.60;vehicle_61;1;122.77;1.12;0.00;3.48;human;;0;0.00;0;0;0;0;0;46.715300;0
28.40;-road0_0;19.96;0.00;12.11;6.40;0.06;road2_0;4.10;0.00;4.30;tripinfo_vehicle_37 routing_vehicle_37 emissions_vehicle_37 battery_vehicle_37;22.00;vehicle_37;1;206.37;1.18;0.00;6.16;human;;0;0.00;0;0;0;0;0;75.585506;0
30.80;-road3_0;19.96;0.00;11.11;6.80;0.22;road1_0;4.10;0.00;0.17;tripinfo_vehicle_15 routing_vehicle_15 emissions_vehicle_15 battery_vehicle_15;24.00;vehicle_15;1;206.37;0.93;0.00;6.20;human;;0;0.00;0;0;0;0;0;73.125115;0
31.20;-road2_0;19.96;0.00;12.76;0.40;0.14;road1_0;4.10;0.00;6.33;tripinfo_vehicle_69 routing_vehicle_69 emissions_vehicle_69 battery_vehicle_69;30.80;vehicle_69;1;289.97;1.02;0.00;8.12;human;;0;0.00;0;0;0;0;0;95.975165;0
32.00;-road1_0;19.96;0.00;10.89;7.60;3.31;road3_0;4.10;0.00;0.39;tripinfo_vehicle_48 routing_vehicle_48 emissions_vehicle_48 battery_vehicle_48;24.40;vehicle_48;1;206.37;0.88;0.00;5.86;human;;0;0.00;0;0;0;0;0;69.875882;0
33.60;-road0_0;19.96;0.00;12.09;10.80;2.00;road1_0;4.10;0.00;2.87;tripinfo_vehicle_40 routing_vehicle_40 emissions_vehicle_40 battery_vehicle_40;22.80;vehicle_40;1;122.77;1.03;0.00;12.18;human;;1;3.60;0;0;0;0;0;58.517230;0
34.00;-road2_0;19.96;0.00;13.17;11.60;2.93;road3_0;4.10;0.00;0.65;tripinfo_vehicle_41 routing_vehicle_41 emissions_vehicle_41 battery_vehicle_41;22.40;vehicle_41;1;122.77;0.96;0.00;11.29;human;;0;0.00;0;0;0;0;0;62.364148;0
36.00;-road2_0;19.96;0.00;12.43;16.40;7.04;road3_0;4.10;0.00;2.83;tripinfo_vehicle_52 routing_vehicle_52 emissions_vehicle_52 battery_vehicle_52;19.60;vehicle_52;1;122.77;1.02;0.00;8.95;human;;0;0.00;0;0;0;0;0;56.022505;0
36.40;-road0_0;19.96;0.00;11.81;5.60;2.21;road3_0;4.10;0.00;2.68;tripinfo_vehicle_6 routing_vehicle_6 emissions_vehicle_6 battery_vehicle_6;30.80;vehicle_6;1;289.97;1.05;0.00;8.38;human;;0;0.00;0;0;0;0;0;94.880288;0
36.80;-road1_0;19.96;0.00;11.81;10.00;2.37;road3_0;4.10;0.00;4.17;tripinfo_vehicle_35 routing_vehicle_35 emissions_vehicle_35 battery_vehicle_35;26.80;vehicle_35;1;206.37;1.02;0.00;10.40;human;;0;0.00;0;0;0;0;0;70.079889;0
38.40;-road3_0;19.96;0.00;12.42;7.60;0.02;road2_0;4.10;0.00;2.81;tripinfo_vehicle_11 routing_vehicle_11 emissions_vehicle_11 battery_vehicle_11;30.80;vehicle_11;1;289.97;1.03;0.00;8.30;human;;0;0.00;0;0;0;0;0;97.683085;0
38.40;-road0_0;19.96;0.00;12.22;12.80;3.89;road1_0;4.10;0.00;2.71;tripinfo_vehicle_65 routing_vehicle_65 emissions_vehicle_65 battery_vehicle_65;25.60;vehicle_65;1;122.77;0.88;0.00;13.81;human;;1;2.40;0;0;0;0;0;55.351383;0
39.60;-road2_0;19.96;0.00;11.78;5.20;0.26;road1_0;4.10;0.00;8.12;tripinfo_vehicle_74 routing_vehicle_74 emissions_vehicle_74 battery_vehicle_74;34.40;vehicle_74;1;289.97;0.96;0.00;11.17;human;;1;0.40;0;0;0;0;0;77.249553;0
42.00;-road3_0;19.96;0.00;12.42;4.80;0.92;road0_0;4.10;0.00;4.78;tripinfo_vehicle_71 emissions_vehicle_71 battery_vehicle_71;37.20;vehicle_71;0;122.77;0.97;0.00;26.40;human;;1;20.00;0;0;0;0;0;59.090212;0
44.80;-road0_0;19.96;0.00;12.21;27.60;12.61;road1_0;4.10;0.00;1.91;tripinfo_vehicle_45 routing_vehicle_45 emissions_vehicle_45 battery_vehicle_45;17.20;vehicle_45;1;122.77;1.09;0.00;6.88;human;;0;0.00;0;0;0;0;0;60.681294;0
46.00;-road1_0;19.96;0.00;12.70;15.20;0.15;road2_0;4.10;0.00;5.67;tripinfo_vehicle_34 routing_vehicle_34 emissions_vehicle_34 battery_vehicle_34;30.80;vehicle_34;1;122.77;0.99;0.00;20.54;human;;1;14.00;0;0;0;0;0;60.657967;0
48.00;-road3_0;19.96;0.00;13.84;22.40;10.76;road1_0;4.10;0.00;0.64;tripinfo_vehicle_10 routing_vehicle_10 emissions_vehicle_10 battery_vehicle_10;25.60;vehicle_10;1;206.37;1.09;0.00;9.36;human;;0;0.00;0;0;0;0;0;93.118698;0
48.00;-road0_0;19.96;0.00;11.02;14.00;5.12;road3_0;4.10;0.00;1.78;tripinfo_vehicle_56 routing_vehicle_56 emissions_vehicle_56 battery_vehicle_56;34.00;vehicle_56;1;289.97;0.90;0.00;9.30;human;;0;0.00;0;0;0;0;0;83.292902;0
49.60;-road1_0;19.96;0.00;13.01;18.40;9.18;road3_0;4.10;0.00;1.08;tripinfo_vehicle_63 routing_vehicle_63 emissions_vehicle_63 battery_vehicle_63;31.20;vehicle_63;1;206.37;0.99;0.00;14.86;human;;1;0.80;0;0;0;0;0;79.425324;0
50.00;-road2_0;19.96;0.00;12.12;8.80;1.84;road1_0;4.10;0.00;3.00;tripinfo_vehicle_27 routing_vehicle_27 emissions_vehicle_27 battery_vehicle_27;41.20;vehicle_27;1;289.97;0.95;0.00;17.64;human;;0;0.00;0;0;0;0;0;87.400749;0
