tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
17.20;-road3_0;19.96;0.00;11.52;2.40;0.00;road0_0;4.10;0.00;1.18;tripinfo_vehicle_61 emissions_vehicle_61 battery_vehicle_61;14.80;vehicle_61;0;122.77;1.12;0.00;4.64;human;;0;0.00;0;0;0;0;0;59.962904;0
20.40;-road1_0;19.96;0.00;12.03;4.80;0.00;road2_0;4.10;0.00;2.48;tripinfo_vehicle_17 routing_vehicle_17 emissions_vehicle_17 battery_vehicle_17;15.60;vehicle_17;1;122.77;0.94;0.00;4.70;human;;0;0.00;0;0;0;0;0;58.976884;0
21.60;-road2_0;19.96;0.00;12.50;0.80;0.00;road0_0;4.10;0.00;6.19;tripinfo_vehicle_59 emissions_vehicle_59 battery_vehicle_59;20.80;vehicle_59;0;206.37;0.97;0.00;3.97;human;;0;0.00;0;0;0;0;0;76.589631;0
23.20;-road3_0;19.96;0.00;12.50;2.80;0.00;road1_0;4.10;0.00;5.98;tripinfo_vehicle_44 routing_vehicle_44 emissions_vehicle_44 battery_vehicle_44;20.40;vehicle_44;1;206.37;1.04;0.00;4.35;human;;0;0.00;0;0;0;0;0;79.197508;0
23.60;-road0_0;19.96;0.00;13.41;3.20;0.00;road2_0;4.10;0.00;2.65;tripinfo_vehicle_57 routing_vehicle_57 emissions_vehicle_57 battery_vehicle_57;20.40;vehicle_57;1;206.37;1.14;0.00;4.20;human;;0;0.00;0;0;0;0;0;92.957139;0
24.40;-road1_0;19.96;0.00;12.31;3.20;0.00;road3_0;4.10;0.00;10.27;tripinfo_vehicle_21 routing_vehicle_21 emissions_vehicle_21 battery_vehicle_21;21.20;vehicle_21;1;206.37;1.01;0.00;4.74;human;;0;0.00;0;0;0;0;0;55.570387;0
26.40;-road3_0;19.96;0.00;13.21;4.00;0.80;road1_0;4.10;0.00;1.52;tripinfo_vehicle_0 routing_vehicle_0 emissions_vehicle_0 battery_vehicle_0;22.40;vehicle_0;1;206.37;1.06;0.00;6.15;human;;0;0.00;0;0;0;0;0;87.628796;0
27.20;-road1_0;19.96;0.00;12.16;8.40;1.60;road2_0;4.10;0.00;4.37;tripinfo_vehicle_13 routing_vehicle_13 emissions_vehicle_13 battery_vehicle_13;18.80;vehicle_13;1;122.77;1.12;0.00;8.85;human;;2;1.20;0;0;0;0;0;59.396268;0
28.00;-road2_0;19.96;0.00;12.32;5.20;1.60;road3_0;4.10;0.00;2.62;tripinfo_vehicle_31 routing_vehicle_31 emissions_vehicle_31 battery_vehicle_31;22.80;vehicle_31;1;122.77;1.15;0.00;12.69;human;;1;4.80;0;0;0;0;0;64.972606;0
30.40;-road0_0;19.96;0.00;12.23;9.20;0.00;road1_0;4.10;0.00;4.43;tripinfo_vehicle_76 routing_vehicle_76 emissions_vehicle_76 battery_vehicle_76;21.20;vehicle_76;1;122.77;1.03;0.00;10.96;human;;1;3.60;0;0;0;0;0;58.569982;0
30.40;-road2_0;19.96;0.00;12.52;0.80;0.00;road1_0;4.10;0.00;8.17;tripinfo_rl_0 routing_rl_0 emissions_rl_0 battery_rl_0;29.60;rl_0;1;289.97;1.03;0.00;7.08;rlAnget;;0;0.00;0;0;0;0;0;83.641518;0
31.60;-road1_0;19.96;0.00;12.88;12.00;1.60;road2_0;4.10;0.00;1.21;tripinfo_vehicle_6 routing_vehicle_6 emissions_vehicle_6 battery_vehicle_6;19.60;vehicle_6;1;122.77;1.05;0.00;9.37;human;;0;0.00;0;0;0;0;0;67.702998;0
32.80;-road0_0;19.96;0.00;12.47;4.00;0.80;road3_0;4.10;0.00;5.57;tripinfo_vehicle_52 routing_vehicle_52 emissions_vehicle_52 battery_vehicle_52;28.80;vehicle_52;1;289.97;1.02;0.00;6.52;human;;0;0.00;0;0;0;0;0;96.030397;0
34.40;-road2_0;19.96;0.00;12.79;9.60;3.20;road3_0;4.10;0.00;1.57;tripinfo_vehicle_12 routing_vehicle_12 emissions_vehicle_12 battery_vehicle_12;24.80;vehicle_12;1;122.77;1.05;0.00;14.74;human;;1;2.80;0;0;0;0;0;62.030678;0
36.00;-road1_0;19.96;0.00;11.79;4.00;0.00;road0_0;4.10;0.00;2.83;tripinfo_vehicle_16 emissions_vehicle_16 battery_vehicle_16;32.00;vehicle_16;0;289.97;0.88;0.00;6.71;human;;0;0.00;0;0;0;0;0;89.031550;0
36.80;-road2_0;19.96;0.00;11.78;18.40;11.20;road3_0;4.10;0.00;1.39;tripinfo_vehicle_20 routing_vehicle_20 emissions_vehicle_20 battery_vehicle_20;18.40;vehicle_20;1;122.77;1.02;0.00;8.20;human;;0;0.00;0;0;0;0;0;55.017978;0
37.60;-road0_0;19.96;0.00;11.32;10.00;0.00;road2_0;4.10;0.00;3.26;tripinfo_vehicle_35 routing_vehicle_35 emissions_vehicle_35 battery_vehicle_35;27.60;vehicle_35;1;206.37;1.02;0.00;11.50;human;;1;0.40;0;0;0;0;0;72.415180;0
38.00;-road3_0;19.96;0.00;11.96;6.40;0.80;road2_0;4.10;0.00;0.60;tripinfo_vehicle_65 routing_vehicle_65 emissions_vehicle_65 battery_vehicle_65;31.60;vehicle_65;1;289.97;0.88;0.00;6.11;human;;0;0.00;0;0;0;0;0;92.103834;0
39.20;-road2_0;19.96;0.00;12.40;6.00;2.40;road1_0;4.10;0.00;3.02;tripinfo_vehicle_63 routing_vehicle_63 emissions_vehicle_63 battery_vehicle_63;33.20;vehicle_63;1;289.97;0.99;0.00;10.71;human;;0;0.00;0;0;0;0;0;96.190577;0
40.40;-road1_0;19.96;0.00;10.65;20.40;7.20;road2_0;4.10;0.00;3.35;tripinfo_vehicle_25 routing_vehicle_25 emissions_vehicle_25 battery_vehicle_25;20.00;vehicle_25;1;122.77;0.87;0.00;8.23;human;;0;0.00;0;0;0;0;0;43.903060;0
41.60;-road2_0;19.96;0.00;12.35;6.00;1.60;road0_0;4.10;0.00;3.35;tripinfo_vehicle_37 emissions_vehicle_37 battery_vehicle_37;35.60;vehicle_37;0;206.37;1.18;0.00;19.54;human;;2;6.00;0;0;0;0;0;79.170341;0
42.00;-road3_0;19.96;0.00;11.85;22.40;12.80;road0_0;4.10;0.00;3.05;tripinfo_vehicle_74 emissions_vehicle_74 battery_vehicle_74;19.60;vehicle_74;0;122.77;0.96;0.00;9.01;human;;0;0.00;0;0;0;0;0;53.109440;0
42.80;-road1_0;19.96;0.00;11.25;7.20;1.60;road3_0;4.10;0.00;2.65;tripinfo_vehicle_64 routing_vehicle_64 emissions_vehicle_64 battery_vehicle_64;35.60;vehicle_64;1;206.37;0.94;0.00;18.49;human;;1;2.80;0;0;0;0;0;63.927537;0
43.60;-road2_0;19.96;0.00;12.66;8.00;1.20;road0_0;4.10;0.00;3.45;tripinfo_vehicle_33 emissions_vehicle_33 battery_vehicle_33;35.60;vehicle_33;0;206.37;1.17;0.00;19.41;human;;1;4.80;0;0;0;0;0;78.423599;0
