tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
16.00;-road1_0;19.96;0.00;12.39;0.80;0.00;road2_0;4.10;0.00;1.18;tripinfo_vehicle_61 routing_vehicle_61 emissions_vehicle_61 battery_vehicle_61;15.20;vehicle_61;1;122.77;1.12;0.00;5.09;human;;0;0.00;0;0;0;0;0;66.141495;0
18.00;-road3_0;19.96;0.00;10.42;2.40;1.60;road0_0;4.10;0.00;4.27;tripinfo_vehicle_41 emissions_vehicle_41 battery_vehicle_41;15.60;vehicle_41;0;122.77;0.96;0.00;5.00;human;;0;0.00;0;0;0;0;0;46.450771;0
20.00;-road3_0;19.96;0.00;12.17;4.00;1.60;road0_0;4.10;0.00;2.64;tripinfo_vehicle_33 emissions_vehicle_33 battery_vehicle_33;16.00;vehicle_33;0;122.77;1.17;0.00;5.99;human;;0;0.00;0;0;0;0;0;60.881101;0
21.60;-road2_0;19.96;0.00;12.75;0.40;0.00;road0_0;4.10;0.00;0.10;tripinfo_vehicle_76 emissions_vehicle_76 battery_vehicle_76;21.20;vehicle_76;0;206.37;1.03;0.00;4.62;human;;0;0.00;0;0;0;0;0;89.108647;0
22.40;-road3_0;19.96;0.00;13.54;2.00;0.00;road1_0;4.10;0.00;3.20;tripinfo_vehicle_10 routing_vehicle_10 emissions_vehicle_10 battery_vehicle_10;20.40;vehicle_10;1;206.37;1.09;0.00;4.16;human;;0;0.00;0;0;0;0;0;92.477240;0
24.00;-road1_0;19.96;0.00;11.15;7.60;2.80;road2_0;4.10;0.00;4.21;tripinfo_vehicle_7 routing_vehicle_7 emissions_vehicle_7 battery_vehicle_7;16.40;vehicle_7;1;122.77;0.89;0.00;4.88;human;;0;0.00;0;0;0;0;0;50.159773;0
24.40;-road2_0;19.96;0.00;12.32;5.60;0.00;road3_0;4.10;0.00;0.55;tripinfo_vehicle_31 routing_vehicle_31 emissions_vehicle_31 battery_vehicle_31;18.80;vehicle_31;1;122.77;1.15;0.00;8.74;human;;1;2.00;0;0;0;0;0;66.009839;0
25.20;-road3_0;19.96;0.00;11.97;3.20;0.00;road1_0;4.10;0.00;4.06;tripinfo_vehicle_28 routing_vehicle_28 emissions_vehicle_28 battery_vehicle_28;22.00;vehicle_28;1;206.37;1.13;0.00;5.83;human;;0;0.00;0;0;0;0;0;77.814076;0
26.40;-road1_0;19.96;0.00;11.64;3.60;0.00;road3_0;4.10;0.00;4.02;tripinfo_vehicle_15 routing_vehicle_15 emissions_vehicle_15 battery_vehicle_15;22.80;vehicle_15;1;206.37;0.93;0.00;5.44;human;;0;0.00;0;0;0;0;0;71.786747;0
27.60;-road2_0;19.96;0.00;11.95;7.20;0.40;road3_0;4.10;0.00;3.35;tripinfo_vehicle_40 routing_vehicle_40 emissions_vehicle_40 battery_vehicle_40;20.40;vehicle_40;1;122.77;1.03;0.00;9.99;human;;1;1.20;0;0;0;0;0;58.028019;0
27.60;-road3_0;19.96;0.00;12.61;0.00;0.00;road2_0;4.10;0.00;6.33;tripinfo_vehicle_52 routing_vehicle_52 emissions_vehicle_52 battery_vehicle_52;27.60;vehicle_52;1;289.97;1.02;0.00;5.21;human;;0;0.00;0;0;0;0;0;97.786411;0
30.40;-road3_0;19.96;0.00;11.69;5.60;0.00;road1_0;4.10;0.00;5.17;tripinfo_vehicle_75 routing_vehicle_75 emissions_vehicle_75 battery_vehicle_75;24.80;vehicle_75;1;206.37;0.98;0.00;8.07;human;;0;0.00;0;0;0;0;0;68.814756;0
30.80;-road0_0;19.96;0.00;12.66;12.00;4.80;road1_0;4.10;0.00;3.10;tripinfo_vehicle_55 routing_vehicle_55 emissions_vehicle_55 battery_vehicle_55;18.80;vehicle_55;1;122.77;1.00;0.00;8.27;human;;0;0.00;0;0;0;0;0;63.659711;0
32.40;-road3_0;19.96;0.00;11.97;7.20;1.60;road1_0;4.10;0.00;3.54;tripinfo_vehicle_78 routing_vehicle_78 emissions_vehicle_78 battery_vehicle_78;25.20;vehicle_78;1;206.37;1.01;0.00;8.87;human;;0;0.00;0;0;0;0;0;74.845797;0
33.20;-road2_0;19.96;0.00;12.89;17.60;4.40;road3_0;4.10;0.00;3.75;tripinfo_vehicle_0 routing_vehicle_0 emissions_vehicle_0 battery_vehicle_0;15.60;vehicle_0;1;122.77;1.06;0.00;5.41;human;;0;0.00;0;0;0;0;0;64.765731;0
33.60;-road1_0;19.96;0.00;12.36;11.20;4.80;road2_0;4.10;0.00;1.95;tripinfo_vehicle_26 routing_vehicle_26 emissions_vehicle_26 battery_vehicle_26;22.40;vehicle_26;1;122.77;0.92;0.00;11.28;human;;1;2.00;0;0;0;0;0;59.930573;0
34.80;-road3_0;19.96;0.00;10.81;2.80;2.00;road2_0;4.10;0.00;3.21;tripinfo_rl_0 routing_rl_0 emissions_rl_0 battery_rl_0;32.00;rl_0;1;289.97;1.03;0.00;9.94;rlAnget;;0;0.00;0;0;0;0;0;90.447311;0
