tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
15.20;-road3_0;19.96;0.00;11.18;0.00;0.00;road0_0;4.10;0.00;5.98;tripinfo_vehicle_8 emissions_vehicle_8 battery_vehicle_8;15.20;vehicle_8;0;122.77;0.94;0.00;4.30;human;;0;0.00;0;0;0;0;0;46.746673;0
18.00;-road3_0;19.96;0.00;11.68;2.40;0.00;road0_0;4.10;0.00;7.69;tripinfo_vehicle_29 emissions_vehicle_29 battery_vehicle_29;15.60;vehicle_29;0;122.77;0.93;0.00;4.81;human;;0;0.00;0;0;0;0;0;41.916675;0
18.80;-road0_0;19.96;0.00;13.45;4.00;1.20;road1_0;4.10;0.00;3.08;tripinfo_vehicle_31 routing_vehicle_31 emissions_vehicle_31 battery_vehicle_31;14.80;vehicle_31;1;122.77;1.15;0.00;4.42;human;;0;0.00;0;0;0;0;0;72.076737;0
20.80;-road3_0;19.96;0.00;12.73;5.20;1.60;road0_0;4.10;0.00;2.93;tripinfo_vehicle_20 emissions_vehicle_20 battery_vehicle_20;15.60;vehicle_20;0;122.77;1.02;0.00;5.35;human;;0;0.00;0;0;0;0;0;64.114259;0
23.60;-road0_0;19.96;0.00;12.89;2.40;0.40;road2_0;4.10;0.00;5.43;tripinfo_vehicle_28 routing_vehicle_28 emissions_vehicle_28 battery_vehicle_28;21.20;vehicle_28;1;206.37;1.13;0.00;5.06;human;;0;0.00;0;0;0;0;0;83.833526;0
24.00;-road1_0;19.96;0.00;13.26;0.80;0.00;road3_0;4.10;0.00;0.10;tripinfo_vehicle_59 routing_vehicle_59 emissions_vehicle_59 battery_vehicle_59;23.20;vehicle_59;1;206.37;0.97;0.00;6.12;human;;0;0.00;0;0;0;0;0;88.232332;0
24.40;-road3_0;19.96;0.00;12.69;7.20;3.60;road0_0;4.10;0.00;3.32;tripinfo_vehicle_57 emissions_vehicle_57 battery_vehicle_57;17.20;vehicle_57;0;122.77;1.14;0.00;6.84;human;;0;0.00;0;0;0;0;0;65.691597;0
26.40;-road1_0;19.96;0.00;12.35;2.80;0.00;road3_0;4.10;0.00;3.56;tripinfo_vehicle_69 routing_vehicle_69 emissions_vehicle_69 battery_vehicle_69;23.60;vehicle_69;1;206.37;1.02;0.00;6.97;human;;0;0.00;0;0;0;0;0;79.733866;0
27.60;-road3_0;19.96;0.00;11.97;9.20;4.80;road0_0;4.10;0.00;2.32;tripinfo_vehicle_47 emissions_vehicle_47 battery_vehicle_47;18.40;vehicle_47;0;122.77;0.90;0.00;6.89;human;;0;0.00;0;0;0;0;0;58.276183;0
28.40;-road1_0;19.96;0.00;12.84;4.40;0.00;road3_0;4.10;0.00;2.23;tripinfo_vehicle_58 routing_vehicle_58 emissions_vehicle_58 battery_vehicle_58;24.00;vehicle_58;1;206.37;1.02;0.00;7.70;human;;0;0.00;0;0;0;0;0;84.962486;0
30.40;-road2_0;19.96;0.00;12.75;2.80;0.00;road1_0;4.10;0.00;2.65;tripinfo_vehicle_4 routing_vehicle_4 emissions_vehicle_4 battery_vehicle_4;27.60;vehicle_4;1;289.97;1.03;0.00;4.98;human;;0;0.00;0;0;0;0;0;108.187242;0
34.40;-road3_0;19.96;0.00;12.67;1.60;0.00;road2_0;4.10;0.00;8.17;tripinfo_vehicle_3 routing_vehicle_3 emissions_vehicle_3 battery_vehicle_3;32.80;vehicle_3;1;289.97;1.08;0.00;10.49;human;;0;0.00;0;0;0;0;0;88.534784;0
35.20;-road1_0;19.96;0.00;11.72;3.20;0.80;road0_0;4.10;0.00;1.38;tripinfo_vehicle_56 emissions_vehicle_56 battery_vehicle_56;32.00;vehicle_56;0;289.97;0.90;0.00;7.17;human;;0;0.00;0;0;0;0;0;91.454257;0
36.00;-road0_0;19.96;0.00;12.48;6.40;1.20;road3_0;4.10;0.00;1.70;tripinfo_vehicle_40 routing_vehicle_40 emissions_vehicle_40 battery_vehicle_40;29.60;vehicle_40;1;289.97;1.03;0.00;7.23;human;;0;0.00;0;0;0;0;0;104.433541;0
36.00;-road3_0;19.96;0.00;13.12;3.60;0.40;road2_0;4.10;0.00;2.06;tripinfo_rl_0 routing_rl_0 emissions_rl_0 battery_rl_0;32.40;rl_0;1;289.97;1.03;0.00;9.91;rlAnget;;0;0.00;0;0;0;0;0;110.931224;0
