tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
15.60;-road2_0;19.96;0.00;12.56;1.60;0.00;road3_0;4.10;0.00;7.30;tripinfo_vehicle_63 routing_vehicle_63 emissions_vehicle_63 battery_vehicle_63;14.00;vehicle_63;1;122.77;0.99;0.00;3.44;human;;0;0.00;0;0;0;0;0;53.943967;0
21.20;-road2_0;19.96;0.00;11.85;0.80;0.00;road0_0;4.10;0.00;10.54;tripinfo_vehicle_46 emissions_vehicle_46 battery_vehicle_46;20.40;vehicle_46;0;206.37;1.00;0.00;4.00;human;;0;0.00;0;0;0;0;0;53.802547;0
21.20;-road0_0;19.96;0.00;12.08;4.80;1.20;road1_0;4.10;0.00;2.34;tripinfo_vehicle_64 routing_vehicle_64 emissions_vehicle_64 battery_vehicle_64;16.40;vehicle_64;1;122.77;0.94;0.00;5.46;human;;0;0.00;0;0;0;0;0;60.091073;0
21.60;-road3_0;19.96;0.00;11.63;0.00;0.00;road1_0;4.10;0.00;6.33;tripinfo_vehicle_54 routing_vehicle_54 emissions_vehicle_54 battery_vehicle_54;21.60;vehicle_54;1;206.37;1.00;0.00;4.89;human;;0;0.00;0;0;0;0;0;68.979473;0
22.80;-road1_0;19.96;0.00;12.44;8.00;3.20;road2_0;4.10;0.00;2.82;tripinfo_vehicle_51 routing_vehicle_51 emissions_vehicle_51 battery_vehicle_51;14.80;vehicle_51;1;122.77;1.17;0.00;4.91;human;;0;0.00;0;0;0;0;0;64.698499;0
24.00;-road0_0;19.96;0.00;12.76;0.80;0.00;road2_0;4.10;0.00;5.65;tripinfo_vehicle_8 routing_vehicle_8 emissions_vehicle_8 battery_vehicle_8;23.20;vehicle_8;1;206.37;0.94;0.00;5.90;human;;0;0.00;0;0;0;0;0;73.426037;0
26.00;-road2_0;19.96;0.00;11.65;4.00;0.80;road0_0;4.10;0.00;0.18;tripinfo_vehicle_71 emissions_vehicle_71 battery_vehicle_71;22.00;vehicle_71;0;206.37;0.97;0.00;5.31;human;;0;0.00;0;0;0;0;0;79.047787;0
26.80;-road0_0;19.96;0.00;11.97;1.60;0.80;road2_0;4.10;0.00;5.01;tripinfo_vehicle_66 routing_vehicle_66 emissions_vehicle_66 battery_vehicle_66;25.20;vehicle_66;1;206.37;0.91;0.00;7.05;human;;0;0.00;0;0;0;0;0;68.767407;0
28.00;-road3_0;19.96;0.00;12.74;6.00;2.00;road0_0;4.10;0.00;4.17;tripinfo_vehicle_61 emissions_vehicle_61 battery_vehicle_61;22.00;vehicle_61;0;122.77;1.12;0.00;11.71;human;;1;5.20;0;0;0;0;0;66.062467;0
29.20;-road0_0;19.96;0.00;10.44;2.80;1.60;road2_0;4.10;0.00;1.98;tripinfo_vehicle_16 routing_vehicle_16 emissions_vehicle_16 battery_vehicle_16;26.40;vehicle_16;1;206.37;0.88;0.00;7.94;human;;0;0.00;0;0;0;0;0;63.586293;0
30.80;-road1_0;19.96;0.00;11.50;2.80;0.00;road0_0;4.10;0.00;3.21;tripinfo_vehicle_13 emissions_vehicle_13 battery_vehicle_13;28.00;vehicle_13;0;289.97;1.12;0.00;5.93;human;;0;0.00;0;0;0;0;0;100.002368;0
30.80;-road2_0;19.96;0.00;12.74;0.80;0.40;road1_0;4.10;0.00;5.55;tripinfo_vehicle_19 routing_vehicle_19 emissions_vehicle_19 battery_vehicle_19;30.00;vehicle_19;1;289.97;1.16;0.00;7.89;human;;0;0.00;0;0;0;0;0;98.410604;0
32.00;-road0_0;19.96;0.00;12.58;2.40;0.40;road3_0;4.10;0.00;5.57;tripinfo_vehicle_34 routing_vehicle_34 emissions_vehicle_34 battery_vehicle_34;29.60;vehicle_34;1;289.97;0.99;0.00;6.89;human;;0;0.00;0;0;0;0;0;96.822630;0
33.60;-road0_0;19.96;0.00;13.54;10.00;4.00;road2_0;4.10;0.00;2.40;tripinfo_rl_0 routing_rl_0 emissions_rl_0 battery_rl_0;23.60;rl_0;1;206.37;1.03;0.00;7.00;rlAnget;;0;0.00;0;0;0;0;0;89.335658;0
